Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,77.0 °F,  -,69.1 °F,76%,30.00 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
1:53 AM,78.1 °F,  -,69.1 °F,74%,30.00 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Clear
2:53 AM,77.0 °F,  -,69.1 °F,76%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:46 AM,75.0 °F,  -,69.1 °F,82%,30.03 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,75.0 °F,  -,70.0 °F,84%,30.00 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,73.9 °F,  -,70.0 °F,87%,30.00 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,73.9 °F,  -,70.0 °F,87%,30.00 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,73.9 °F,  -,70.0 °F,87%,30.01 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:41 AM,77.0 °F,  -,72.0 °F,84%,30.05 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,77.0 °F,  -,72.0 °F,84%,30.03 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,80.1 °F,83.8 °F,72.0 °F,76%,30.03 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,82.9 °F,88.8 °F,73.0 °F,72%,30.04 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,84.9 °F,90.7 °F,72.0 °F,65%,30.04 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,87.1 °F,92.8 °F,71.1 °F,59%,30.04 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,87.1 °F,92.0 °F,70.0 °F,57%,30.02 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,91.0 °F,96.6 °F,70.0 °F,50%,30.00 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,91.9 °F,97.4 °F,70.0 °F,48%,29.99 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,91.0 °F,95.6 °F,69.1 °F,48%,29.96 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,90.0 °F,95.4 °F,70.0 °F,52%,29.96 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,90.0 °F,95.4 °F,70.0 °F,52%,29.96 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,90.0 °F,96.4 °F,71.1 °F,54%,29.95 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,87.1 °F,92.0 °F,70.0 °F,57%,29.95 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,84.9 °F,88.8 °F,69.1 °F,59%,29.96 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,84.0 °F,89.6 °F,72.0 °F,67%,29.99 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,82.0 °F,87.4 °F,73.0 °F,74%,30.02 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,80.1 °F,84.2 °F,73.0 °F,79%,30.01 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
