Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,72.0 °F,  -,55.9 °F,57%,30.11 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Clear
1:53 AM,71.1 °F,  -,55.9 °F,59%,30.09 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
2:53 AM,69.1 °F,  -,57.0 °F,65%,30.09 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Clear
3:53 AM,68.0 °F,  -,57.9 °F,70%,30.09 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Clear
4:53 AM,66.0 °F,  -,57.0 °F,73%,30.09 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Clear
5:53 AM,66.9 °F,  -,57.0 °F,70%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
6:53 AM,66.9 °F,  -,55.9 °F,68%,30.10 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,68.0 °F,  -,57.0 °F,68%,30.11 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,70.0 °F,  -,59.0 °F,68%,30.12 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,75.0 °F,  -,57.0 °F,53%,30.13 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,78.1 °F,  -,54.0 °F,43%,30.13 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,81.0 °F,80.5 °F,54.0 °F,39%,30.12 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,82.9 °F,  -,51.1 °F,33%,30.08 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,82.9 °F,81.8 °F,53.1 °F,36%,30.04 in,10.0 mi,North,12.7 mph,19.6 mph,N/A,	 ,Partly Cloudy
2:53 PM,84.9 °F,83.3 °F,54.0 °F,34%,30.01 in,10.0 mi,North,16.1 mph,23.0 mph,N/A,	 ,Partly Cloudy
3:53 PM,84.9 °F,83.2 °F,53.1 °F,33%,29.98 in,10.0 mi,NNE,12.7 mph,21.9 mph,N/A,	 ,Partly Cloudy
4:53 PM,84.9 °F,83.2 °F,53.1 °F,33%,29.97 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Clear
5:53 PM,84.0 °F,  -,52.0 °F,33%,29.96 in,10.0 mi,Variable,6.9 mph,16.1 mph,N/A,	 ,Clear
6:53 PM,82.0 °F,81.2 °F,53.1 °F,37%,29.95 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Clear
7:53 PM,78.1 °F,  -,54.0 °F,43%,29.94 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
8:53 PM,73.9 °F,  -,55.0 °F,52%,29.95 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Clear
9:53 PM,75.9 °F,  -,55.0 °F,48%,29.95 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Clear
10:53 PM,73.9 °F,  -,55.9 °F,53%,29.96 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
11:53 PM,71.1 °F,  -,59.0 °F,66%,29.95 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
