Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,84.9 °F,90.1 °F,71.1 °F,63%,29.85 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,82.9 °F,88.8 °F,73.0 °F,72%,29.84 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,82.0 °F,87.9 °F,73.9 °F,76%,29.84 in,10.0 mi,South,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
3:53 AM,82.0 °F,87.9 °F,73.9 °F,76%,29.85 in,10.0 mi,South,15.0 mph,23.0 mph,N/A,	 ,Mostly Cloudy
4:53 AM,81.0 °F,86.2 °F,73.9 °F,79%,29.86 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:36 AM,80.1 °F,84.5 °F,73.9 °F,81%,29.90 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
5:53 AM,80.1 °F,84.2 °F,73.0 °F,79%,29.87 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Overcast
6:38 AM,80.1 °F,84.2 °F,73.0 °F,79%,29.91 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,80.1 °F,84.2 °F,73.0 °F,79%,29.88 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,80.1 °F,84.2 °F,73.0 °F,79%,29.91 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:04 AM,80.1 °F,84.2 °F,73.0 °F,79%,29.94 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,81.0 °F,86.2 °F,73.9 °F,79%,29.91 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,82.9 °F,89.4 °F,73.9 °F,74%,29.92 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,87.1 °F,94.5 °F,73.0 °F,63%,29.92 in,10.0 mi,South,18.4 mph,23.0 mph,N/A,	 ,Mostly Cloudy
11:53 AM,90.0 °F,97.9 °F,73.0 °F,57%,29.91 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,91.9 °F,99.5 °F,72.0 °F,52%,29.90 in,10.0 mi,South,16.1 mph,27.6 mph,N/A,	 ,Scattered Clouds
1:53 PM,93.9 °F,100.8 °F,71.1 °F,47%,29.87 in,10.0 mi,South,13.8 mph,19.6 mph,N/A,	 ,Scattered Clouds
2:53 PM,95.0 °F,101.3 °F,70.0 °F,44%,29.85 in,10.0 mi,South,11.5 mph,20.7 mph,N/A,	 ,Scattered Clouds
3:53 PM,96.1 °F,101.0 °F,68.0 °F,40%,29.82 in,10.0 mi,South,15.0 mph,19.6 mph,N/A,	 ,Partly Cloudy
4:53 PM,96.1 °F,99.9 °F,66.9 °F,38%,29.81 in,10.0 mi,South,12.7 mph,25.3 mph,N/A,	 ,Scattered Clouds
5:53 PM,93.9 °F,97.5 °F,66.9 °F,41%,29.81 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,93.0 °F,95.9 °F,66.0 °F,41%,29.81 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,90.0 °F,92.4 °F,66.0 °F,45%,29.81 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,86.0 °F,90.7 °F,70.0 °F,59%,29.85 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,84.0 °F,87.8 °F,69.1 °F,61%,29.87 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Clear
10:53 PM,82.0 °F,85.9 °F,70.0 °F,67%,29.89 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Clear
11:53 PM,80.1 °F,83.6 °F,71.1 °F,74%,29.89 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Clear
