Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,73.0 °F,69.1 °F,87%,30.00 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,72.0 °F,68.0 °F,87%,30.00 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:47 AM,71.6 °F,68.0 °F,88%,30.03 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
2:53 AM,72.0 °F,68.0 °F,87%,30.01 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
3:48 AM,71.6 °F,68.0 °F,88%,30.02 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
3:53 AM,71.1 °F,68.0 °F,90%,30.00 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Overcast
4:11 AM,72.0 °F,68.0 °F,87%,30.03 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
4:53 AM,71.1 °F,66.9 °F,87%,30.01 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
5:44 AM,71.1 °F,66.9 °F,87%,30.04 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
5:53 AM,71.1 °F,66.9 °F,87%,30.02 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Overcast
6:13 AM,71.1 °F,66.9 °F,87%,30.05 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Overcast
6:34 AM,71.1 °F,66.9 °F,87%,30.05 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
6:53 AM,71.1 °F,66.9 °F,87%,30.03 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Overcast
7:07 AM,71.1 °F,66.9 °F,87%,30.05 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
7:53 AM,71.1 °F,66.9 °F,87%,30.05 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
8:38 AM,70.0 °F,66.9 °F,90%,30.08 in,5.0 mi,NNE,9.2 mph,  -,0.00 in,Rain,Light Rain
8:53 AM,70.0 °F,68.0 °F,93%,30.06 in,3.0 mi,NNE,8.1 mph,  -,0.00 in,Rain,Light Rain
9:11 AM,70.0 °F,66.9 °F,90%,30.08 in,2.0 mi,NNE,10.4 mph,  -,0.00 in,Rain,Light Rain
9:37 AM,69.1 °F,66.9 °F,93%,30.09 in,1.5 mi,North,10.4 mph,  -,0.06 in,Rain,Heavy Rain
9:53 AM,69.1 °F,66.9 °F,93%,30.08 in,3.0 mi,North,6.9 mph,  -,0.11 in,Rain,Light Rain
10:13 AM,70.0 °F,68.0 °F,93%,30.09 in,2.0 mi,North,10.4 mph,  -,0.04 in,Rain,Rain
10:26 AM,70.0 °F,68.0 °F,93%,30.09 in,3.0 mi,North,11.5 mph,  -,0.05 in,Rain,Light Rain
10:31 AM,70.0 °F,68.0 °F,93%,30.09 in,3.0 mi,North,12.7 mph,  -,0.05 in,Rain,Light Rain
10:53 AM,71.1 °F,69.1 °F,93%,30.08 in,6.0 mi,North,12.7 mph,  -,0.05 in,Rain,Light Rain
11:10 AM,71.1 °F,69.1 °F,93%,30.09 in,7.0 mi,NNW,10.4 mph,  -,0.00 in,	 ,Overcast
11:39 AM,72.0 °F,69.1 °F,91%,30.09 in,7.0 mi,North,10.4 mph,  -,0.00 in,Rain,Light Rain
11:53 AM,72.0 °F,69.1 °F,91%,30.07 in,9.0 mi,North,12.7 mph,  -,0.00 in,Rain,Light Rain
12:13 PM,72.0 °F,69.1 °F,91%,30.09 in,9.0 mi,North,11.5 mph,  -,0.00 in,	 ,Overcast
12:53 PM,73.9 °F,69.1 °F,85%,30.06 in,10.0 mi,North,11.5 mph,  -,0.00 in,	 ,Overcast
1:53 PM,75.9 °F,69.1 °F,79%,30.03 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Overcast
2:53 PM,78.1 °F,68.0 °F,71%,30.02 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Overcast
3:53 PM,79.0 °F,68.0 °F,69%,30.00 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
4:53 PM,79.0 °F,68.0 °F,69%,29.99 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Overcast
5:53 PM,78.1 °F,68.0 °F,71%,30.00 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
6:53 PM,75.9 °F,66.9 °F,74%,30.01 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
7:53 PM,75.9 °F,68.0 °F,76%,30.02 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
8:53 PM,73.0 °F,66.9 °F,81%,30.04 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
9:53 PM,72.0 °F,66.0 °F,81%,30.06 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Overcast
10:53 PM,70.0 °F,64.9 °F,84%,30.07 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Overcast
11:34 PM,70.0 °F,64.9 °F,84%,30.10 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
11:53 PM,70.0 °F,64.9 °F,84%,30.08 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Mostly Cloudy
