Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,68.0 °F,52.0 °F,56%,30.09 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
1:53 AM,68.0 °F,52.0 °F,56%,30.09 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
2:53 AM,68.0 °F,52.0 °F,56%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:53 AM,66.0 °F,52.0 °F,60%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
4:53 AM,66.0 °F,53.1 °F,63%,30.09 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Clear
5:53 AM,63.0 °F,53.1 °F,70%,30.11 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Clear
6:53 AM,64.0 °F,54.0 °F,70%,30.12 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Clear
7:53 AM,64.0 °F,53.1 °F,67%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:53 AM,69.1 °F,55.9 °F,63%,30.15 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Clear
9:53 AM,73.9 °F,54.0 °F,50%,30.16 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
10:53 AM,78.1 °F,54.0 °F,43%,30.17 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Clear
11:53 AM,80.1 °F,52.0 °F,38%,30.15 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Clear
12:53 PM,82.0 °F,51.1 °F,34%,30.14 in,10.0 mi,SE,16.1 mph,20.7 mph,N/A,	 ,Clear
1:53 PM,82.9 °F,52.0 °F,34%,30.13 in,10.0 mi,SE,13.8 mph,  -,N/A,	 ,Clear
2:53 PM,84.9 °F,52.0 °F,32%,30.10 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Clear
3:53 PM,84.0 °F,51.1 °F,32%,30.08 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Clear
4:53 PM,84.9 °F,51.1 °F,31%,30.06 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Clear
5:53 PM,84.0 °F,50.0 °F,31%,30.06 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Clear
6:53 PM,82.0 °F,52.0 °F,35%,30.05 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
7:53 PM,78.1 °F,53.1 °F,42%,30.06 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Clear
8:53 PM,77.0 °F,53.1 °F,43%,30.08 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
9:53 PM,73.9 °F,55.0 °F,52%,30.09 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Clear
10:53 PM,73.0 °F,55.9 °F,55%,30.10 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
11:53 PM,72.0 °F,55.9 °F,57%,30.12 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
