Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,64.9 °F,48.9 °F,56%,30.09 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Clear
1:53 AM,63.0 °F,50.0 °F,63%,30.09 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Clear
2:53 AM,62.1 °F,48.9 °F,62%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:53 AM,66.0 °F,36.0 °F,33%,30.07 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Clear
4:53 AM,63.0 °F,36.0 °F,37%,30.08 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
5:53 AM,64.0 °F,34.0 °F,33%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
6:53 AM,64.9 °F,35.1 °F,33%,30.09 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
7:53 AM,66.9 °F,35.1 °F,31%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:53 AM,77.0 °F,32.0 °F,19%,30.12 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
9:53 AM,82.0 °F,30.9 °F,16%,30.12 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,84.9 °F,30.9 °F,14%,30.12 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,84.9 °F,44.1 °F,24%,30.11 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,82.0 °F,39.9 °F,22%,30.09 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,84.9 °F,37.0 °F,18%,30.07 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,82.9 °F,34.0 °F,17%,30.06 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,82.9 °F,30.9 °F,15%,30.06 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,81.0 °F,41.0 °F,24%,30.05 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,71.1 °F,59.0 °F,66%,30.05 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,69.1 °F,57.9 °F,68%,30.05 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,69.1 °F,55.9 °F,63%,30.06 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,68.0 °F,57.9 °F,70%,30.06 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:53 PM,71.1 °F,55.9 °F,59%,30.06 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,69.1 °F,55.9 °F,63%,30.06 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,70.0 °F,53.1 °F,55%,30.05 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
