Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,63.0 °F,60.1 °F,90%,30.01 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:50 AM,62.6 °F,60.8 °F,94%,30.01 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,62.1 °F,60.1 °F,93%,30.00 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,61.0 °F,59.0 °F,93%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:53 AM,57.0 °F,55.9 °F,96%,29.99 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,57.9 °F,55.9 °F,93%,30.00 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,57.9 °F,55.9 °F,93%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:07 AM,57.9 °F,55.9 °F,93%,30.01 in,9.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,60.1 °F,55.9 °F,86%,30.01 in,8.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:59 AM,60.1 °F,57.0 °F,90%,30.01 in,8.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
7:05 AM,60.1 °F,57.0 °F,90%,30.02 in,8.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,64.0 °F,57.0 °F,78%,30.03 in,8.0 mi,NE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,66.0 °F,57.0 °F,73%,30.03 in,8.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:40 AM,66.0 °F,55.9 °F,70%,30.03 in,8.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,66.0 °F,55.0 °F,68%,30.03 in,8.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,68.0 °F,55.0 °F,63%,30.01 in,9.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,68.0 °F,55.0 °F,63%,29.99 in,9.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,68.0 °F,54.0 °F,61%,29.96 in,9.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,66.9 °F,54.0 °F,63%,29.96 in,9.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,66.0 °F,55.0 °F,68%,29.96 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,64.9 °F,55.0 °F,70%,29.97 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,63.0 °F,57.0 °F,81%,29.97 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,62.1 °F,55.9 °F,80%,29.98 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,62.1 °F,55.9 °F,80%,29.99 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,62.1 °F,55.9 °F,80%,29.99 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,61.0 °F,55.9 °F,83%,29.99 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,62.1 °F,57.0 °F,84%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:53 PM,61.0 °F,55.9 °F,83%,30.00 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
11:53 PM,60.1 °F,55.9 °F,86%,30.00 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
