Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,64.9 °F,26.1 °F,23%,30.06 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1:53 AM,63.0 °F,25.0 °F,24%,30.05 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
2:53 AM,62.1 °F,23.0 °F,22%,30.05 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
3:53 AM,57.9 °F,24.1 °F,27%,30.04 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,57.9 °F,21.9 °F,25%,30.04 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Clear
5:53 AM,57.9 °F,21.9 °F,25%,30.06 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,57.9 °F,23.0 °F,26%,30.05 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,60.1 °F,23.0 °F,24%,30.06 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:53 AM,68.0 °F,24.1 °F,19%,30.07 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,72.0 °F,26.1 °F,18%,30.07 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,73.0 °F,24.1 °F,16%,30.05 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
11:53 AM,72.0 °F,43.0 °F,35%,30.01 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,71.1 °F,44.1 °F,38%,29.98 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,71.1 °F,42.1 °F,35%,29.97 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,68.0 °F,51.1 °F,55%,29.96 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,68.0 °F,44.1 °F,42%,29.97 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,63.0 °F,52.0 °F,67%,29.99 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,63.0 °F,54.0 °F,72%,30.00 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,62.1 °F,55.0 °F,78%,30.00 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,63.0 °F,55.0 °F,75%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:53 PM,61.0 °F,54.0 °F,78%,30.01 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,57.0 °F,53.1 °F,87%,29.99 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
11:53 PM,59.0 °F,54.0 °F,83%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
