Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:41 AM,64.9 °F,57.0 °F,75%,29.94 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:53 AM,64.0 °F,57.0 °F,78%,29.94 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,64.9 °F,57.0 °F,75%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:53 AM,64.0 °F,57.0 °F,78%,29.93 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,64.0 °F,57.0 °F,78%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:53 AM,64.0 °F,55.9 °F,75%,29.92 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,64.0 °F,57.0 °F,78%,29.91 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
6:53 AM,64.0 °F,57.9 °F,80%,29.91 in,8.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
7:53 AM,64.0 °F,57.9 °F,80%,29.93 in,8.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
8:53 AM,66.0 °F,57.9 °F,75%,29.95 in,8.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
9:53 AM,66.0 °F,57.0 °F,73%,29.96 in,8.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
10:53 AM,68.0 °F,57.0 °F,68%,29.96 in,8.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,68.0 °F,54.0 °F,61%,29.95 in,8.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,68.0 °F,54.0 °F,61%,29.93 in,8.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,69.1 °F,57.0 °F,65%,29.91 in,8.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,68.0 °F,57.0 °F,68%,29.90 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,69.1 °F,57.9 °F,68%,29.91 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,66.0 °F,59.0 °F,78%,29.91 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,64.0 °F,57.9 °F,80%,29.92 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,64.0 °F,57.0 °F,78%,29.94 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,64.0 °F,57.0 °F,78%,29.95 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,64.0 °F,55.9 °F,75%,29.96 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,64.0 °F,55.9 °F,75%,29.97 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:46 PM,64.0 °F,55.0 °F,73%,29.99 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,64.0 °F,55.0 °F,73%,29.98 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,64.0 °F,55.0 °F,73%,29.98 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
