Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,61.0 °F,37.0 °F,41%,30.09 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Clear
1:53 AM,57.0 °F,35.1 °F,44%,30.09 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Clear
2:53 AM,54.0 °F,39.9 °F,59%,30.09 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
3:53 AM,55.9 °F,36.0 °F,47%,30.07 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
4:53 AM,55.0 °F,34.0 °F,45%,30.07 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Clear
5:53 AM,54.0 °F,37.0 °F,53%,30.08 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
6:53 AM,55.9 °F,33.1 °F,42%,30.09 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,61.0 °F,30.9 °F,32%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:53 AM,73.9 °F,28.9 °F,19%,30.13 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,79.0 °F,25.0 °F,14%,30.12 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,78.1 °F,33.1 °F,19%,30.09 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,73.9 °F,39.9 °F,29%,30.07 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,71.1 °F,36.0 °F,28%,30.06 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,72.0 °F,41.0 °F,33%,30.05 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,68.0 °F,46.9 °F,47%,30.07 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,66.0 °F,46.9 °F,50%,30.06 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,63.0 °F,52.0 °F,67%,30.07 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,63.0 °F,48.9 °F,60%,30.07 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,62.1 °F,46.9 °F,58%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
8:53 PM,62.1 °F,48.0 °F,60%,30.07 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,61.0 °F,51.1 °F,70%,30.08 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,62.1 °F,50.0 °F,65%,30.09 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,60.1 °F,52.0 °F,75%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
