Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,59.0 °F,24.8 °F,27%,30.22 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,57.2 °F,24.8 °F,29%,30.21 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:53 AM,57.0 °F,25.0 °F,29%,30.21 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,55.0 °F,28.0 °F,35%,30.20 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:53 AM,55.9 °F,21.9 °F,27%,30.20 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,57.0 °F,21.0 °F,25%,30.20 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,60.1 °F,19.9 °F,21%,30.21 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,62.1 °F,19.9 °F,20%,30.22 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,72.0 °F,18.0 °F,13%,30.23 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,75.2 °F,17.6 °F,11%,30.23 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,79.0 °F,16.0 °F,9%,30.21 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,81.0 °F,14.0 °F,8%,30.17 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,84.0 °F,10.9 °F,6%,30.14 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,84.9 °F,8.1 °F,5%,30.12 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,82.9 °F,21.0 °F,10%,30.11 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,80.6 °F,17.6 °F,10%,30.12 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,77.0 °F,17.6 °F,11%,30.13 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,75.0 °F,21.0 °F,13%,30.14 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,73.9 °F,21.9 °F,14%,30.15 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
7:53 PM,71.1 °F,12.9 °F,11%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
8:53 PM,72.0 °F,12.9 °F,10%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:53 PM,64.9 °F,19.9 °F,18%,30.17 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,66.0 °F,19.9 °F,17%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
11:53 PM,61.0 °F,21.9 °F,22%,30.16 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
