Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,54.0 °F,51.1 °F,90%,30.06 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:53 AM,51.1 °F,50.0 °F,96%,30.05 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:53 AM,48.0 °F,46.9 °F,96%,30.06 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
3:53 AM,50.0 °F,46.9 °F,89%,30.06 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
4:53 AM,48.0 °F,45.0 °F,89%,30.07 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Clear
5:53 AM,46.9 °F,42.1 °F,83%,30.07 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,46.9 °F,43.0 °F,86%,30.09 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,50.0 °F,41.0 °F,71%,30.12 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
8:53 AM,55.0 °F,42.1 °F,62%,30.12 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,57.9 °F,42.1 °F,56%,30.12 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,62.1 °F,43.0 °F,50%,30.12 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,64.0 °F,35.1 °F,34%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
12:53 PM,63.0 °F,44.1 °F,50%,30.09 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,63.0 °F,45.0 °F,52%,30.09 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,61.0 °F,48.0 °F,62%,30.09 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,60.1 °F,51.1 °F,72%,30.08 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,57.9 °F,53.1 °F,84%,30.11 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,57.0 °F,53.1 °F,87%,30.12 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,57.0 °F,52.0 °F,83%,30.13 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,55.9 °F,52.0 °F,87%,30.12 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,55.9 °F,52.0 °F,87%,30.14 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
9:53 PM,55.9 °F,52.0 °F,87%,30.15 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,55.9 °F,52.0 °F,87%,30.17 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,54.0 °F,52.0 °F,93%,30.16 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
