Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,54.0 °F,48.9 °F,83%,30.10 in,10.0 mi,ESE,9.2 mph,  -,0.00 in,Rain,Light Rain
1:53 AM,53.1 °F,48.0 °F,83%,30.09 in,10.0 mi,East,5.8 mph,  -,0.00 in,Rain,Light Rain
2:53 AM,52.0 °F,48.9 °F,89%,30.11 in,10.0 mi,ESE,4.6 mph,  -,0.03 in,	 ,Overcast
3:53 AM,52.0 °F,48.9 °F,89%,30.09 in,10.0 mi,East,10.4 mph,  -,0.00 in,Rain,Light Rain
4:53 AM,52.0 °F,48.9 °F,89%,30.06 in,8.0 mi,East,11.5 mph,  -,0.02 in,Rain,Light Rain
5:53 AM,51.1 °F,48.0 °F,89%,30.08 in,7.0 mi,East,11.5 mph,  -,0.04 in,Rain,Rain
6:19 AM,50.0 °F,48.0 °F,93%,30.08 in,7.0 mi,East,11.5 mph,  -,0.01 in,Rain,Light Rain
6:53 AM,51.1 °F,48.0 °F,89%,30.08 in,10.0 mi,East,11.5 mph,  -,0.02 in,Rain,Light Rain
7:53 AM,50.0 °F,48.0 °F,93%,30.10 in,7.0 mi,East,11.5 mph,  -,0.06 in,Rain,Light Rain
8:53 AM,51.1 °F,48.0 °F,89%,30.10 in,5.0 mi,East,13.8 mph,  -,0.03 in,Rain,Light Rain
9:53 AM,51.1 °F,48.9 °F,92%,30.08 in,5.0 mi,East,18.4 mph,26.5 mph,0.03 in,Rain,Rain
10:22 AM,50.0 °F,48.0 °F,93%,30.10 in,2.0 mi,East,18.4 mph,  -,0.04 in,Rain,Heavy Rain
10:49 AM,50.0 °F,48.2 °F,94%,30.07 in,5.0 mi,East,18.4 mph,  -,0.12 in,Rain,Rain
10:53 AM,50.0 °F,48.9 °F,96%,30.05 in,5.0 mi,East,17.3 mph,  -,0.13 in,Rain,Rain
11:14 AM,50.0 °F,48.9 °F,96%,30.04 in,4.0 mi,East,21.9 mph,  -,0.03 in,Rain,Rain
11:30 AM,50.0 °F,48.0 °F,93%,30.04 in,2.5 mi,East,20.7 mph,29.9 mph,0.07 in,Rain,Heavy Rain
11:50 AM,50.0 °F,48.2 °F,94%,30.03 in,3.0 mi,East,16.1 mph,27.6 mph,0.16 in,Rain,Heavy Rain
11:53 AM,50.0 °F,48.9 °F,96%,30.02 in,3.0 mi,East,19.6 mph,26.5 mph,0.17 in,Rain,Heavy Rain
12:06 PM,50.0 °F,48.9 °F,96%,30.01 in,2.0 mi,East,19.6 mph,28.8 mph,0.07 in,Rain,Heavy Rain
12:21 PM,50.0 °F,48.9 °F,96%,29.99 in,2.5 mi,East,19.6 mph,29.9 mph,0.12 in,Rain,Heavy Rain
12:40 PM,50.0 °F,48.9 °F,96%,29.97 in,2.0 mi,East,19.6 mph,28.8 mph,0.22 in,Rain,Heavy Rain
12:51 PM,50.0 °F,48.2 °F,94%,29.97 in,1.8 mi,East,19.6 mph,25.3 mph,0.27 in,Rain,Heavy Rain
12:53 PM,50.0 °F,48.9 °F,96%,29.96 in,1.8 mi,East,18.4 mph,  -,0.28 in,Rain,Heavy Rain
1:12 PM,50.0 °F,48.9 °F,96%,29.95 in,1.5 mi,East,18.4 mph,  -,0.10 in,Rain,Heavy Rain
1:33 PM,50.0 °F,50.0 °F,100%,29.94 in,1.2 mi,East,13.8 mph,  -,0.22 in,Rain,Heavy Rain
1:53 PM,50.0 °F,50.0 °F,100%,29.93 in,1.2 mi,East,13.8 mph,  -,0.34 in,Rain,Heavy Rain
2:53 PM,51.1 °F,51.1 °F,100%,29.90 in,1.2 mi,ESE,9.2 mph,21.9 mph,0.54 in,Rain,Heavy Rain
3:35 PM,52.0 °F,52.0 °F,100%,29.89 in,0.5 mi,East,11.5 mph,  -,0.45 in,"Fog
	,
Rain",Heavy Rain
3:53 PM,52.0 °F,52.0 °F,100%,29.89 in,0.5 mi,East,16.1 mph,20.7 mph,0.74 in,"Fog
	,
Rain",Heavy Rain
4:06 PM,52.0 °F,52.0 °F,100%,29.89 in,1.0 mi,ENE,9.2 mph,  -,0.22 in,Rain,Heavy Rain
4:39 PM,52.0 °F,52.0 °F,100%,29.89 in,3.0 mi,ESE,4.6 mph,  -,0.34 in,Rain,Light Rain
4:53 PM,52.0 °F,52.0 °F,100%,29.89 in,2.5 mi,East,9.2 mph,  -,0.34 in,Rain,Light Rain
5:53 PM,52.0 °F,52.0 °F,100%,29.89 in,2.5 mi,East,3.5 mph,  -,0.05 in,Rain,Light Rain
6:13 PM,53.1 °F,53.1 °F,100%,29.90 in,5.0 mi,Variable,4.6 mph,  -,0.01 in,Rain,Light Rain
6:53 PM,54.0 °F,54.0 °F,100%,29.91 in,7.0 mi,Variable,3.5 mph,  -,0.01 in,	 ,Overcast
7:53 PM,55.9 °F,55.0 °F,97%,29.91 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Overcast
8:53 PM,55.9 °F,54.0 °F,93%,29.92 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Overcast
9:53 PM,55.9 °F,54.0 °F,93%,29.92 in,10.0 mi,South,10.4 mph,17.3 mph,N/A,	 ,Overcast
10:50 PM,57.2 °F,55.4 °F,94%,29.90 in,2.5 mi,SSW,21.9 mph,29.9 mph,0.06 in,Rain,Rain
10:53 PM,55.9 °F,54.0 °F,93%,29.91 in,2.5 mi,SSW,15.0 mph,29.9 mph,0.08 in,Rain,Heavy Rain
11:04 PM,57.0 °F,55.9 °F,96%,29.91 in,4.0 mi,WSW,13.8 mph,25.3 mph,0.03 in,Rain,Light Rain
11:44 PM,55.0 °F,52.0 °F,89%,29.91 in,10.0 mi,SW,13.8 mph,  -,0.03 in,	 ,Mostly Cloudy
11:53 PM,55.0 °F,52.0 °F,89%,29.91 in,10.0 mi,WSW,13.8 mph,21.9 mph,0.03 in,	 ,Mostly Cloudy
