Time (PST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,46.9 °F,  -,41.0 °F,80%,30.19 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,45.0 °F,43.5 °F,39.9 °F,82%,30.22 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,45.0 °F,43.5 °F,39.9 °F,82%,30.22 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,43.0 °F,38.2 °F,39.0 °F,86%,30.21 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,43.0 °F,40.3 °F,39.0 °F,86%,30.21 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,44.1 °F,40.1 °F,37.9 °F,79%,30.22 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,44.1 °F,  -,37.0 °F,76%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:53 AM,45.0 °F,42.6 °F,37.9 °F,76%,30.27 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,50.0 °F,  -,39.0 °F,66%,30.30 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
9:53 AM,52.0 °F,  -,39.9 °F,63%,30.31 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Clear
10:53 AM,54.0 °F,  -,37.9 °F,55%,30.31 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,55.9 °F,  -,36.0 °F,47%,30.29 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,55.9 °F,  -,39.0 °F,53%,30.27 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,55.9 °F,  -,42.1 °F,60%,30.25 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,55.9 °F,  -,43.0 °F,62%,30.26 in,10.0 mi,West,13.8 mph,19.6 mph,N/A,	 ,Partly Cloudy
3:53 PM,55.0 °F,  -,42.1 °F,62%,30.26 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,54.0 °F,  -,43.0 °F,66%,30.27 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,53.1 °F,  -,44.1 °F,71%,30.28 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,53.1 °F,  -,43.0 °F,69%,30.28 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,53.1 °F,  -,42.1 °F,66%,30.29 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,52.0 °F,  -,39.0 °F,61%,30.30 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,51.1 °F,  -,37.0 °F,59%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:53 PM,48.0 °F,  -,39.0 °F,71%,30.32 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 PM,48.0 °F,  -,41.0 °F,77%,30.32 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Partly Cloudy
