Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,52.0 °F,39.9 °F,63%,29.89 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,53.1 °F,39.0 °F,59%,29.90 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,53.1 °F,37.0 °F,55%,29.91 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:53 AM,52.0 °F,35.1 °F,53%,29.92 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,52.0 °F,34.0 °F,50%,29.95 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,51.1 °F,33.1 °F,50%,29.97 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,50.0 °F,33.1 °F,52%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:53 AM,54.0 °F,28.9 °F,38%,30.04 in,10.0 mi,North,15.0 mph,21.9 mph,N/A,	 ,Partly Cloudy
8:53 AM,57.0 °F,28.0 °F,33%,30.07 in,10.0 mi,North,15.0 mph,23.0 mph,N/A,	 ,Partly Cloudy
9:53 AM,61.0 °F,34.0 °F,36%,30.09 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,60.1 °F,37.9 °F,44%,30.11 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,61.0 °F,39.9 °F,46%,30.12 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,61.0 °F,41.0 °F,48%,30.11 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,61.0 °F,43.0 °F,52%,30.11 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,59.0 °F,44.1 °F,58%,30.11 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,57.9 °F,46.9 °F,67%,30.12 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,57.0 °F,45.0 °F,64%,30.14 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,55.0 °F,44.1 °F,67%,30.17 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,55.0 °F,43.0 °F,64%,30.19 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,55.0 °F,44.1 °F,67%,30.20 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:53 PM,54.0 °F,44.1 °F,69%,30.21 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Clear
9:53 PM,54.0 °F,43.0 °F,66%,30.22 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Clear
10:53 PM,54.0 °F,37.9 °F,55%,30.21 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,53.1 °F,32.0 °F,45%,30.21 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Partly Cloudy
