Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,57.0 °F,57.0 °F,100%,30.11 in,4.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,57.0 °F,57.0 °F,100%,30.11 in,1.8 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
2:53 AM,57.0 °F,55.9 °F,96%,30.11 in,2.5 mi,NW,4.6 mph,  -,N/A,	 ,Overcast
3:53 AM,55.9 °F,55.9 °F,100%,30.10 in,2.5 mi,West,4.6 mph,  -,N/A,	 ,Overcast
4:53 AM,55.9 °F,55.0 °F,97%,30.10 in,1.5 mi,West,4.6 mph,  -,N/A,	 ,Overcast
5:53 AM,55.0 °F,55.0 °F,100%,30.12 in,1.0 mi,West,4.6 mph,  -,N/A,	 ,Overcast
6:14 AM,55.0 °F,55.0 °F,100%,30.12 in,3.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
6:53 AM,55.0 °F,55.0 °F,100%,30.12 in,4.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:09 AM,55.0 °F,55.0 °F,100%,30.12 in,2.5 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:53 AM,54.0 °F,54.0 °F,100%,30.13 in,0.8 mi,West,6.9 mph,  -,N/A,	 ,Overcast
8:18 AM,55.9 °F,55.0 °F,97%,30.14 in,1.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:44 AM,55.9 °F,55.0 °F,97%,30.15 in,1.5 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,55.9 °F,55.9 °F,100%,30.15 in,3.0 mi,WSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:38 AM,57.9 °F,54.0 °F,87%,30.15 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,59.0 °F,55.0 °F,87%,30.16 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,59.0 °F,55.0 °F,87%,30.15 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,59.0 °F,55.0 °F,87%,30.12 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,60.1 °F,55.0 °F,83%,30.09 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,60.1 °F,55.0 °F,83%,30.07 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,60.1 °F,55.0 °F,83%,30.07 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
3:28 PM,59.0 °F,54.0 °F,83%,30.06 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,59.0 °F,54.0 °F,83%,30.05 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,57.0 °F,53.1 °F,87%,30.05 in,10.0 mi,West,17.3 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,55.9 °F,53.1 °F,90%,30.06 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:49 PM,55.4 °F,53.6 °F,94%,30.07 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,55.9 °F,54.0 °F,93%,30.07 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,57.0 °F,54.0 °F,89%,30.08 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,57.0 °F,54.0 °F,89%,30.09 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,55.9 °F,54.0 °F,93%,30.08 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,57.0 °F,54.0 °F,89%,30.09 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,55.9 °F,53.1 °F,90%,30.07 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
