Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:27 AM,55.9 °F,55.0 °F,97%,30.05 in,0.1 mi,Variable,4.6 mph,  -,N/A,Fog,Fog
12:53 AM,55.0 °F,55.0 °F,100%,30.04 in,0.1 mi,WNW,4.6 mph,  -,N/A,Fog,Fog
1:53 AM,54.0 °F,54.0 °F,100%,30.04 in,0.1 mi,Calm,Calm,  -,N/A,Fog,Fog
2:53 AM,54.0 °F,54.0 °F,100%,30.04 in,0.1 mi,WNW,3.5 mph,  -,N/A,Fog,Fog
3:53 AM,53.1 °F,53.1 °F,100%,30.03 in,0.1 mi,Calm,Calm,  -,N/A,Fog,Fog
4:53 AM,53.1 °F,53.1 °F,100%,30.03 in,0.1 mi,NNW,3.5 mph,  -,N/A,Fog,Fog
5:53 AM,52.0 °F,52.0 °F,100%,30.03 in,0.1 mi,Calm,Calm,  -,N/A,Fog,Fog
6:04 AM,52.0 °F,52.0 °F,100%,30.03 in,0.1 mi,Calm,Calm,  -,N/A,Fog,Fog
6:27 AM,52.0 °F,52.0 °F,100%,30.03 in,0.1 mi,Calm,Calm,  -,N/A,Fog,Fog
6:40 AM,51.1 °F,51.1 °F,100%,30.03 in,0.5 mi,Calm,Calm,  -,N/A,Fog,Fog
6:53 AM,51.1 °F,51.1 °F,100%,30.04 in,0.5 mi,Variable,3.5 mph,  -,N/A,Fog,Fog
7:05 AM,52.0 °F,52.0 °F,100%,30.04 in,1.0 mi,ENE,3.5 mph,  -,N/A,Fog,Patches of Fog
7:22 AM,51.1 °F,51.1 °F,100%,30.04 in,2.0 mi,Calm,Calm,  -,N/A,Fog,Patches of Fog
7:53 AM,53.1 °F,53.1 °F,100%,30.05 in,3.0 mi,Calm,Calm,  -,N/A,	 ,Mist
8:53 AM,60.1 °F,55.0 °F,83%,30.06 in,4.0 mi,Calm,Calm,  -,N/A,Fog,Patches of Fog
9:53 AM,66.9 °F,53.1 °F,61%,30.07 in,5.0 mi,Calm,Calm,  -,N/A,Fog,Patches of Fog
10:53 AM,61.0 °F,54.0 °F,78%,30.08 in,7.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,62.1 °F,55.0 °F,78%,30.07 in,6.0 mi,West,11.5 mph,  -,N/A,Fog,Patches of Fog
12:53 PM,61.0 °F,55.0 °F,81%,30.07 in,5.0 mi,West,12.7 mph,  -,N/A,Fog,Patches of Fog
2:53 PM,64.0 °F,55.0 °F,73%,30.04 in,7.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,64.0 °F,55.0 °F,73%,30.04 in,8.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,60.8 °F,55.4 °F,82%,30.04 in,8.0 mi,WSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,60.8 °F,55.4 °F,82%,30.04 in,6.0 mi,West,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,59.0 °F,57.2 °F,94%,30.04 in,6.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,57.2 °F,55.4 °F,94%,30.04 in,5.0 mi,West,6.9 mph,  -,N/A,Fog,Patches of Fog
8:53 PM,57.2 °F,55.4 °F,94%,30.05 in,5.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,57.9 °F,57.0 °F,97%,30.06 in,6.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,57.9 °F,57.0 °F,97%,30.07 in,7.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,55.9 °F,55.9 °F,100%,30.07 in,2.0 mi,WSW,3.5 mph,  -,N/A,Fog,Patches of Fog
