Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,59.0 °F,57.9 °F,96%,30.12 in,2.5 mi,WSW,5.8 mph,  -,0.00 in,	 ,Mist
1:29 AM,59.0 °F,57.9 °F,96%,30.11 in,4.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
1:53 AM,60.1 °F,57.9 °F,93%,30.09 in,4.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
2:53 AM,60.1 °F,57.9 °F,93%,30.09 in,5.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
3:53 AM,60.1 °F,57.9 °F,93%,30.10 in,5.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
4:53 AM,59.0 °F,57.9 °F,96%,30.09 in,5.0 mi,WSW,4.6 mph,  -,0.00 in,	 ,Overcast
5:53 AM,59.0 °F,57.9 °F,96%,30.09 in,5.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
6:53 AM,59.0 °F,57.9 °F,96%,30.11 in,8.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
7:05 AM,59.0 °F,57.9 °F,96%,30.12 in,8.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:47 AM,61.0 °F,57.0 °F,87%,30.13 in,8.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,62.1 °F,57.0 °F,84%,30.13 in,8.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,63.0 °F,57.9 °F,84%,30.14 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,66.0 °F,57.9 °F,75%,30.13 in,9.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,66.0 °F,57.0 °F,73%,30.13 in,9.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,66.0 °F,57.0 °F,73%,30.14 in,9.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
12:18 PM,66.0 °F,57.9 °F,75%,30.14 in,9.0 mi,West,17.3 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,64.0 °F,57.0 °F,78%,30.13 in,9.0 mi,WSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,64.9 °F,55.9 °F,73%,30.12 in,9.0 mi,West,16.1 mph,  -,N/A,	 ,Mostly Cloudy
2:10 PM,64.9 °F,57.0 °F,75%,30.12 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Scattered Clouds
2:34 PM,64.9 °F,57.0 °F,75%,30.11 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,66.0 °F,57.0 °F,73%,30.11 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,68.0 °F,55.9 °F,65%,30.07 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,66.0 °F,55.0 °F,68%,30.06 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,66.9 °F,55.0 °F,66%,30.06 in,10.0 mi,SW,11.5 mph,19.6 mph,N/A,	 ,Clear
6:53 PM,64.9 °F,53.1 °F,65%,30.06 in,10.0 mi,West,16.1 mph,25.3 mph,N/A,	 ,Clear
7:53 PM,63.0 °F,54.0 °F,72%,30.06 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
8:53 PM,61.0 °F,54.0 °F,78%,30.07 in,10.0 mi,WSW,16.1 mph,  -,N/A,	 ,Clear
9:53 PM,60.1 °F,55.0 °F,83%,30.09 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Clear
10:53 PM,60.1 °F,54.0 °F,80%,30.09 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
11:53 PM,59.0 °F,55.0 °F,87%,30.09 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Clear
