Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,66.0 °F,52.0 °F,60%,29.87 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Clear
1:53 AM,62.1 °F,54.0 °F,75%,29.87 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Clear
2:53 AM,60.1 °F,55.9 °F,86%,29.86 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
3:53 AM,61.0 °F,55.9 °F,83%,29.86 in,9.0 mi,ENE,4.6 mph,  -,N/A,	 ,Clear
4:53 AM,60.1 °F,55.9 °F,86%,29.87 in,9.0 mi,NE,3.5 mph,  -,N/A,	 ,Clear
5:53 AM,60.1 °F,55.0 °F,83%,29.86 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,61.0 °F,55.9 °F,83%,29.88 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,66.9 °F,57.0 °F,70%,29.89 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,71.1 °F,55.9 °F,59%,29.89 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,77.0 °F,52.0 °F,42%,29.89 in,9.0 mi,NE,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,77.0 °F,57.0 °F,50%,29.89 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,75.9 °F,57.0 °F,52%,29.88 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,73.9 °F,57.0 °F,55%,29.87 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,73.9 °F,59.0 °F,59%,29.86 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,73.0 °F,53.1 °F,49%,29.86 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,73.9 °F,53.1 °F,48%,29.84 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,73.9 °F,48.9 °F,41%,29.84 in,10.0 mi,West,18.4 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,72.0 °F,51.1 °F,48%,29.84 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,69.1 °F,52.0 °F,54%,29.83 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,66.0 °F,52.0 °F,60%,29.83 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,64.0 °F,52.0 °F,65%,29.84 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,64.9 °F,52.0 °F,63%,29.83 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
10:53 PM,63.0 °F,53.1 °F,70%,29.83 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 PM,63.0 °F,55.9 °F,78%,29.83 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
