Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,57.9 °F,51.1 °F,78%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:53 AM,57.9 °F,51.1 °F,78%,29.96 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
2:53 AM,57.9 °F,52.0 °F,81%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:53 AM,57.9 °F,53.1 °F,84%,29.96 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
4:53 AM,57.9 °F,51.1 °F,78%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
5:53 AM,57.9 °F,50.0 °F,75%,29.98 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,57.0 °F,50.0 °F,77%,29.99 in,7.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
7:53 AM,59.0 °F,51.1 °F,75%,30.02 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,61.0 °F,51.1 °F,70%,30.02 in,8.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:29 AM,61.0 °F,51.1 °F,70%,30.02 in,8.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,63.0 °F,51.1 °F,65%,30.02 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:53 AM,64.9 °F,52.0 °F,63%,30.03 in,8.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,64.9 °F,52.0 °F,63%,30.03 in,8.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,66.0 °F,53.1 °F,63%,30.02 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,64.9 °F,53.1 °F,65%,30.01 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,64.9 °F,53.1 °F,65%,29.99 in,10.0 mi,West,17.3 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,64.9 °F,53.1 °F,65%,29.98 in,10.0 mi,WSW,17.3 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,63.0 °F,53.1 °F,70%,29.99 in,10.0 mi,West,17.3 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,62.1 °F,54.0 °F,75%,29.98 in,9.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,60.1 °F,54.0 °F,80%,29.99 in,8.0 mi,WSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,59.0 °F,55.0 °F,87%,30.01 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,57.9 °F,55.0 °F,90%,30.02 in,9.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,57.9 °F,55.0 °F,90%,30.03 in,9.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,57.0 °F,55.0 °F,93%,30.04 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,57.0 °F,55.0 °F,93%,30.05 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
