Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,55.9 °F,46.9 °F,72%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:53 AM,57.0 °F,30.9 °F,37%,30.03 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Clear
2:53 AM,55.0 °F,30.9 °F,40%,30.02 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
3:53 AM,53.1 °F,35.1 °F,50%,30.02 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
4:53 AM,53.1 °F,39.0 °F,59%,30.01 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Clear
5:53 AM,54.0 °F,35.1 °F,49%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
6:53 AM,53.1 °F,36.0 °F,52%,30.04 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,55.9 °F,41.0 °F,57%,30.06 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,59.0 °F,46.9 °F,64%,30.08 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,60.1 °F,48.0 °F,64%,30.09 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,63.0 °F,46.9 °F,56%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
11:53 AM,64.0 °F,48.0 °F,56%,30.09 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,66.0 °F,46.9 °F,50%,30.06 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,64.9 °F,48.9 °F,56%,30.06 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,63.0 °F,52.0 °F,67%,30.05 in,10.0 mi,West,18.4 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,63.0 °F,44.1 °F,50%,30.03 in,10.0 mi,WSW,17.3 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,63.0 °F,43.0 °F,48%,30.02 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,62.1 °F,43.0 °F,50%,30.01 in,10.0 mi,SW,16.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,61.0 °F,44.1 °F,54%,30.01 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,62.1 °F,46.9 °F,58%,30.02 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,62.1 °F,43.0 °F,50%,30.04 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,60.1 °F,46.0 °F,60%,30.04 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:53 PM,59.0 °F,46.0 °F,62%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 PM,57.9 °F,51.1 °F,78%,30.05 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
