Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,59.0 °F,51.1 °F,75%,29.85 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
1:53 AM,57.0 °F,48.9 °F,74%,29.84 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:53 AM,57.0 °F,51.1 °F,81%,29.84 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Clear
3:53 AM,55.0 °F,50.0 °F,83%,29.84 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
4:53 AM,54.0 °F,50.0 °F,86%,29.84 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
5:53 AM,53.1 °F,48.9 °F,86%,29.85 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,57.9 °F,52.0 °F,81%,29.87 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:46 AM,60.1 °F,53.1 °F,78%,29.88 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,60.1 °F,53.1 °F,78%,29.88 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,62.1 °F,52.0 °F,70%,29.88 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,63.0 °F,52.0 °F,67%,29.88 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:50 AM,66.2 °F,51.8 °F,60%,29.89 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,66.0 °F,52.0 °F,60%,29.88 in,10.0 mi,SSE,12.7 mph,20.7 mph,N/A,	 ,Mostly Cloudy
11:53 AM,68.0 °F,51.1 °F,55%,29.89 in,10.0 mi,SSE,15.0 mph,21.9 mph,N/A,	 ,Scattered Clouds
12:53 PM,69.1 °F,50.0 °F,51%,29.88 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,69.1 °F,48.9 °F,49%,29.88 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,71.1 °F,46.0 °F,41%,29.87 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,66.9 °F,53.1 °F,61%,29.86 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,64.9 °F,52.0 °F,63%,29.86 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,63.0 °F,53.1 °F,70%,29.86 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,62.1 °F,51.1 °F,67%,29.86 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,60.1 °F,51.1 °F,72%,29.87 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,59.0 °F,52.0 °F,78%,29.87 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,57.9 °F,52.0 °F,81%,29.88 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,57.9 °F,51.1 °F,78%,29.90 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,57.9 °F,50.0 °F,75%,29.89 in,10.0 mi,SSW,11.5 mph,18.4 mph,N/A,	 ,Scattered Clouds
