Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,57.0 °F,48.9 °F,74%,29.89 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,57.0 °F,50.0 °F,77%,29.88 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,55.9 °F,48.9 °F,77%,29.87 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:06 AM,57.0 °F,48.9 °F,74%,29.88 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
3:53 AM,57.0 °F,50.0 °F,77%,29.88 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,55.9 °F,48.9 °F,77%,29.88 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:47 AM,55.9 °F,48.9 °F,77%,29.88 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,55.0 °F,48.0 °F,77%,29.88 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,57.0 °F,48.9 °F,74%,29.88 in,7.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,59.0 °F,48.0 °F,67%,29.89 in,7.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,59.0 °F,46.9 °F,64%,29.91 in,7.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:33 AM,60.1 °F,46.9 °F,62%,29.91 in,7.0 mi,WSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,60.1 °F,46.9 °F,62%,29.92 in,7.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:53 AM,61.0 °F,46.9 °F,60%,29.92 in,8.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,63.0 °F,46.0 °F,54%,29.93 in,8.0 mi,West,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
12:53 PM,64.0 °F,48.0 °F,56%,29.93 in,8.0 mi,West,17.3 mph,23.0 mph,N/A,	 ,Mostly Cloudy
1:53 PM,64.0 °F,48.0 °F,56%,29.94 in,9.0 mi,West,16.1 mph,23.0 mph,N/A,	 ,Mostly Cloudy
2:53 PM,64.0 °F,46.0 °F,52%,29.94 in,10.0 mi,West,18.4 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,63.0 °F,46.0 °F,54%,29.93 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,62.1 °F,46.0 °F,56%,29.92 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,61.0 °F,46.0 °F,58%,29.93 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,60.1 °F,48.9 °F,67%,29.93 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,57.9 °F,51.1 °F,78%,29.94 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Scattered Clouds
8:53 PM,57.9 °F,51.1 °F,78%,29.95 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Clear
9:53 PM,57.9 °F,51.1 °F,78%,29.96 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,57.0 °F,50.0 °F,77%,29.97 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,57.0 °F,50.0 °F,77%,29.97 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
