Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:47 AM,57.9 °F,57.0 °F,97%,29.95 in,1.5 mi,West,8.1 mph,  -,N/A,	 ,Mist
12:53 AM,57.9 °F,57.0 °F,97%,29.95 in,1.5 mi,West,9.2 mph,  -,N/A,	 ,Mist
12:58 AM,57.9 °F,57.0 °F,97%,29.95 in,0.8 mi,West,9.2 mph,  -,N/A,	 ,Mist
1:18 AM,57.9 °F,57.0 °F,97%,29.95 in,1.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mist
1:53 AM,57.0 °F,55.9 °F,96%,29.94 in,1.0 mi,West,5.8 mph,  -,N/A,	 ,Mist
2:53 AM,57.0 °F,55.9 °F,96%,29.92 in,1.2 mi,West,4.6 mph,  -,N/A,	 ,Mist
3:38 AM,57.0 °F,55.9 °F,96%,29.91 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Mist
3:53 AM,57.0 °F,55.9 °F,96%,29.89 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Mist
4:48 AM,57.2 °F,55.4 °F,94%,29.88 in,3.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:53 AM,57.9 °F,55.9 °F,93%,29.87 in,3.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
5:53 AM,57.9 °F,55.0 °F,90%,29.87 in,4.0 mi,West,4.6 mph,  -,N/A,	 ,Overcast
6:53 AM,57.9 °F,55.9 °F,93%,29.88 in,4.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
7:53 AM,57.9 °F,55.0 °F,90%,29.89 in,5.0 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
8:53 AM,59.0 °F,55.0 °F,87%,29.90 in,6.0 mi,SW,5.8 mph,  -,N/A,	 ,Overcast
9:53 AM,59.0 °F,55.0 °F,87%,29.93 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
10:53 AM,60.1 °F,55.9 °F,86%,29.94 in,6.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
11:36 AM,63.0 °F,55.9 °F,78%,29.93 in,8.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,63.0 °F,55.9 °F,78%,29.92 in,7.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,63.0 °F,55.9 °F,78%,29.90 in,7.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:46 PM,63.0 °F,55.9 °F,78%,29.89 in,8.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,63.0 °F,55.9 °F,78%,29.89 in,8.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,64.0 °F,55.0 °F,73%,29.87 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,63.0 °F,55.0 °F,75%,29.85 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,62.1 °F,55.0 °F,78%,29.83 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,61.0 °F,55.0 °F,81%,29.83 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,61.0 °F,54.0 °F,78%,29.82 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,60.1 °F,54.0 °F,80%,29.82 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
8:53 PM,60.1 °F,54.0 °F,80%,29.83 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
9:53 PM,60.1 °F,54.0 °F,80%,29.84 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
10:53 PM,60.1 °F,55.0 °F,83%,29.85 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
11:53 PM,60.1 °F,54.0 °F,80%,29.83 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Overcast
