Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,66.0 °F,61.0 °F,84%,29.87 in,9.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
1:53 AM,66.0 °F,61.0 °F,84%,29.87 in,8.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
2:53 AM,64.0 °F,61.0 °F,90%,29.87 in,7.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
3:53 AM,64.0 °F,62.1 °F,93%,29.85 in,6.0 mi,West,4.6 mph,  -,N/A,	 ,Overcast
4:53 AM,64.9 °F,62.1 °F,90%,29.86 in,6.0 mi,West,3.5 mph,  -,N/A,	 ,Overcast
5:53 AM,64.0 °F,62.1 °F,93%,29.88 in,3.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
6:53 AM,64.9 °F,62.1 °F,90%,29.89 in,3.0 mi,NW,6.9 mph,  -,N/A,	 ,Overcast
7:53 AM,64.9 °F,62.1 °F,90%,29.90 in,3.0 mi,West,8.1 mph,  -,N/A,	 ,Overcast
8:53 AM,66.0 °F,62.1 °F,87%,29.91 in,5.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
9:40 AM,66.0 °F,62.1 °F,87%,29.91 in,7.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
9:53 AM,66.0 °F,62.1 °F,87%,29.90 in,7.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
10:53 AM,68.0 °F,62.1 °F,81%,29.91 in,7.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
11:53 AM,68.0 °F,61.0 °F,78%,29.92 in,7.0 mi,WSW,11.5 mph,  -,N/A,	 ,Overcast
12:53 PM,68.0 °F,61.0 °F,78%,29.92 in,7.0 mi,West,17.3 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,68.0 °F,60.1 °F,76%,29.92 in,8.0 mi,WSW,15.0 mph,  -,N/A,	 ,Overcast
2:53 PM,69.1 °F,60.1 °F,73%,29.91 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
3:21 PM,69.1 °F,60.1 °F,73%,29.90 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,68.0 °F,60.1 °F,76%,29.90 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,66.0 °F,61.0 °F,84%,29.89 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,64.9 °F,61.0 °F,87%,29.90 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Overcast
6:53 PM,64.9 °F,61.0 °F,87%,29.90 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Overcast
7:53 PM,63.0 °F,61.0 °F,93%,29.91 in,6.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
8:53 PM,63.0 °F,61.0 °F,93%,29.92 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
9:53 PM,63.0 °F,61.0 °F,93%,29.91 in,7.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
10:53 PM,63.0 °F,61.0 °F,93%,29.91 in,6.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
11:53 PM,62.1 °F,60.1 °F,93%,29.91 in,1.5 mi,WSW,9.2 mph,  -,N/A,	 ,Overcast
