Time (PDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,66.9 °F,  -,60.1 °F,79%,29.88 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
1:53 AM,66.0 °F,  -,60.1 °F,81%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:53 AM,64.9 °F,  -,59.0 °F,81%,29.87 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Clear
3:53 AM,64.9 °F,  -,59.0 °F,81%,29.87 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
4:23 AM,66.0 °F,  -,60.1 °F,81%,29.88 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,64.4 °F,  -,59.0 °F,83%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:53 AM,66.2 °F,  -,60.8 °F,83%,29.89 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:53 AM,68.0 °F,  -,60.8 °F,78%,29.89 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,73.0 °F,  -,61.0 °F,66%,29.90 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
8:53 AM,77.0 °F,  -,62.1 °F,60%,29.91 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:53 AM,79.0 °F,  -,63.0 °F,58%,29.91 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
10:53 AM,78.1 °F,  -,62.1 °F,58%,29.92 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
11:53 AM,79.0 °F,  -,61.0 °F,54%,29.92 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
12:53 PM,81.0 °F,81.7 °F,61.0 °F,50%,29.92 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Clear
1:53 PM,81.0 °F,80.8 °F,55.9 °F,42%,29.92 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Clear
2:53 PM,78.1 °F,  -,57.9 °F,50%,29.93 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Clear
3:53 PM,75.9 °F,  -,59.0 °F,56%,29.91 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Clear
4:53 PM,80.1 °F,80.1 °F,55.0 °F,42%,29.90 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
5:53 PM,75.0 °F,  -,57.0 °F,53%,29.88 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Clear
6:53 PM,73.0 °F,  -,62.1 °F,68%,29.88 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
7:53 PM,71.1 °F,  -,62.1 °F,73%,29.87 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
8:53 PM,72.0 °F,  -,61.0 °F,68%,29.87 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
9:53 PM,69.1 °F,  -,57.9 °F,68%,29.88 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
10:53 PM,69.1 °F,  -,55.9 °F,63%,29.88 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
11:53 PM,68.0 °F,  -,57.0 °F,68%,29.87 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
