Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,62.1 °F,60.1 °F,93%,29.89 in,4.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
1:53 AM,62.1 °F,60.1 °F,93%,29.88 in,4.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
2:53 AM,62.1 °F,60.1 °F,93%,29.86 in,4.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
3:53 AM,62.1 °F,59.0 °F,90%,29.86 in,5.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:53 AM,62.1 °F,59.0 °F,90%,29.85 in,4.0 mi,West,3.5 mph,  -,N/A,	 ,Overcast
5:50 AM,62.6 °F,60.8 °F,94%,29.86 in,1.8 mi,Calm,Calm,  -,N/A,	 ,Overcast
5:53 AM,62.1 °F,60.1 °F,93%,29.86 in,1.8 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:21 AM,62.1 °F,60.1 °F,93%,29.87 in,2.5 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:53 AM,63.0 °F,60.1 °F,90%,29.87 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:53 AM,63.0 °F,60.1 °F,90%,29.89 in,2.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
8:17 AM,62.1 °F,60.1 °F,93%,29.89 in,1.8 mi,WSW,3.5 mph,  -,N/A,	 ,Overcast
8:53 AM,63.0 °F,60.1 °F,90%,29.90 in,1.8 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
9:11 AM,63.0 °F,61.0 °F,93%,29.91 in,2.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
9:53 AM,64.0 °F,60.1 °F,87%,29.91 in,2.5 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
10:15 AM,64.0 °F,60.1 °F,87%,29.92 in,2.5 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
10:53 AM,64.0 °F,60.1 °F,87%,29.91 in,2.5 mi,West,6.9 mph,  -,N/A,	 ,Overcast
11:14 AM,64.0 °F,60.1 °F,87%,29.92 in,3.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
11:53 AM,64.0 °F,60.1 °F,87%,29.92 in,3.0 mi,WSW,9.2 mph,  -,N/A,	 ,Overcast
12:06 PM,64.9 °F,60.1 °F,84%,29.92 in,4.0 mi,West,9.2 mph,  -,N/A,	 ,Haze
12:53 PM,64.9 °F,60.1 °F,84%,29.91 in,4.0 mi,West,9.2 mph,  -,N/A,	 ,Haze
1:53 PM,66.0 °F,60.1 °F,81%,29.90 in,6.0 mi,WSW,9.2 mph,  -,N/A,	 ,Haze
2:19 PM,66.9 °F,60.1 °F,79%,29.90 in,9.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,66.0 °F,59.0 °F,78%,29.89 in,8.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,64.9 °F,60.1 °F,84%,29.87 in,9.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:34 PM,64.0 °F,59.0 °F,84%,29.86 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,64.0 °F,59.0 °F,84%,29.86 in,9.0 mi,WSW,10.4 mph,  -,N/A,	 ,Overcast
5:53 PM,62.1 °F,59.0 °F,90%,29.85 in,9.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
6:53 PM,62.1 °F,59.0 °F,90%,29.85 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
7:53 PM,61.0 °F,59.0 °F,93%,29.85 in,8.0 mi,WSW,9.2 mph,  -,N/A,	 ,Overcast
8:53 PM,61.0 °F,59.0 °F,93%,29.86 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
9:53 PM,61.0 °F,59.0 °F,93%,29.87 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
10:53 PM,61.0 °F,59.0 °F,93%,29.87 in,9.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,62.1 °F,59.0 °F,90%,29.87 in,9.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
