Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,68.0 °F,63.0 °F,84%,29.90 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Clear
1:53 AM,68.0 °F,63.0 °F,84%,29.90 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,66.9 °F,63.0 °F,87%,29.90 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:53 AM,68.0 °F,64.0 °F,87%,29.90 in,9.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
4:53 AM,68.0 °F,64.0 °F,87%,29.89 in,8.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,68.0 °F,64.0 °F,87%,29.89 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:53 AM,68.0 °F,64.0 °F,87%,29.90 in,6.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:35 AM,70.0 °F,64.0 °F,81%,29.92 in,7.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,70.0 °F,64.0 °F,81%,29.91 in,7.0 mi,ESE,3.5 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,73.9 °F,64.0 °F,71%,29.93 in,9.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,75.0 °F,64.9 °F,71%,29.92 in,8.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,73.9 °F,64.9 °F,73%,29.92 in,9.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
11:53 AM,75.9 °F,66.0 °F,71%,29.92 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,75.9 °F,66.0 °F,71%,29.91 in,9.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,75.9 °F,66.0 °F,71%,29.90 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,75.0 °F,64.9 °F,71%,29.88 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,75.0 °F,64.9 °F,71%,29.86 in,9.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,73.0 °F,64.9 °F,76%,29.85 in,8.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,73.0 °F,64.9 °F,76%,29.84 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,71.1 °F,64.0 °F,78%,29.85 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,70.0 °F,64.0 °F,81%,29.86 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,69.1 °F,64.0 °F,84%,29.87 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,68.0 °F,63.0 °F,84%,29.88 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
10:53 PM,68.0 °F,63.0 °F,84%,29.89 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
11:53 PM,68.0 °F,62.1 °F,81%,29.89 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
