Time (PDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,71.1 °F,  -,64.0 °F,78%,29.83 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Clear
1:53 AM,72.0 °F,  -,64.0 °F,76%,29.81 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Clear
2:53 AM,71.1 °F,  -,64.0 °F,78%,29.79 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:53 AM,70.0 °F,  -,64.0 °F,81%,29.80 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
4:53 AM,71.1 °F,  -,64.9 °F,81%,29.81 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
5:53 AM,71.1 °F,  -,64.9 °F,81%,29.81 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,73.9 °F,  -,64.9 °F,73%,29.81 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:53 AM,78.1 °F,  -,64.9 °F,64%,29.81 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,80.1 °F,82.1 °F,66.0 °F,62%,29.86 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,80.1 °F,82.3 °F,66.9 °F,64%,29.86 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,84.0 °F,85.8 °F,64.9 °F,53%,29.85 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,86.0 °F,87.6 °F,64.9 °F,49%,29.84 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,82.9 °F,84.6 °F,64.9 °F,54%,29.84 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,84.9 °F,85.9 °F,63.0 °F,48%,29.83 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,84.0 °F,85.4 °F,64.0 °F,51%,29.81 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,81.0 °F,83.3 °F,66.9 °F,62%,29.81 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,79.0 °F,  -,66.0 °F,64%,29.82 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,80.1 °F,82.3 °F,66.9 °F,64%,29.83 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,78.1 °F,  -,64.0 °F,62%,29.81 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,79.0 °F,  -,61.0 °F,54%,29.79 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,77.0 °F,  -,64.0 °F,64%,29.81 in,10.0 mi,SSE,9.2 mph,20.7 mph,N/A,	 ,Mostly Cloudy
9:53 PM,77.0 °F,  -,66.0 °F,69%,29.84 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,73.9 °F,  -,64.9 °F,73%,29.86 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,72.0 °F,  -,66.9 °F,84%,29.87 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
