Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,68.0 °F,61.0 °F,78%,29.96 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Overcast
1:53 AM,66.9 °F,62.1 °F,84%,29.96 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,68.0 °F,61.0 °F,78%,29.95 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
3:53 AM,68.0 °F,61.0 °F,78%,29.95 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:53 AM,68.0 °F,60.1 °F,76%,29.95 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:53 AM,69.1 °F,60.1 °F,73%,29.96 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,69.1 °F,61.0 °F,75%,29.97 in,8.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
7:53 AM,70.0 °F,60.1 °F,71%,29.99 in,8.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
8:53 AM,70.0 °F,60.1 °F,71%,30.00 in,8.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,73.0 °F,60.1 °F,64%,30.01 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:23 AM,71.1 °F,61.0 °F,70%,30.01 in,8.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,71.1 °F,61.0 °F,70%,30.01 in,8.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,73.9 °F,62.1 °F,66%,30.01 in,9.0 mi,WSW,10.4 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,73.9 °F,62.1 °F,66%,30.01 in,9.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,75.0 °F,61.0 °F,62%,30.00 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,75.0 °F,62.1 °F,64%,29.99 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,73.0 °F,62.1 °F,68%,29.98 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,73.0 °F,62.1 °F,68%,29.97 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,72.0 °F,62.1 °F,71%,29.95 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,70.0 °F,62.1 °F,76%,29.95 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Clear
7:53 PM,69.1 °F,61.0 °F,75%,29.95 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Clear
8:53 PM,69.1 °F,62.1 °F,78%,29.97 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
9:53 PM,68.0 °F,63.0 °F,84%,29.98 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,68.0 °F,64.0 °F,87%,29.98 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,66.9 °F,63.0 °F,87%,29.98 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
