Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,70.0 °F,66.0 °F,87%,29.91 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,70.0 °F,64.9 °F,84%,29.89 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:53 AM,69.1 °F,64.9 °F,87%,29.89 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Overcast
3:53 AM,69.1 °F,64.9 °F,87%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:53 AM,70.0 °F,64.9 °F,84%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:21 AM,70.0 °F,64.9 °F,84%,29.89 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,69.1 °F,64.9 °F,87%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:53 AM,70.0 °F,64.9 °F,84%,29.89 in,9.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,73.0 °F,66.0 °F,79%,29.90 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:53 AM,72.0 °F,66.0 °F,81%,29.91 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:35 AM,73.9 °F,66.0 °F,76%,29.92 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,75.0 °F,66.0 °F,73%,29.92 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,75.9 °F,66.0 °F,71%,29.92 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,75.9 °F,66.0 °F,71%,29.92 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,75.9 °F,66.0 °F,71%,29.92 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,77.0 °F,66.0 °F,69%,29.91 in,10.0 mi,West,13.8 mph,20.7 mph,N/A,	 ,Partly Cloudy
2:53 PM,77.0 °F,64.9 °F,66%,29.91 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,75.9 °F,64.9 °F,69%,29.88 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,75.0 °F,66.0 °F,73%,29.87 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,73.0 °F,64.9 °F,76%,29.87 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,71.1 °F,64.0 °F,78%,29.87 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,69.1 °F,64.9 °F,87%,29.88 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,69.1 °F,64.0 °F,84%,29.89 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,69.1 °F,63.0 °F,81%,29.90 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,68.0 °F,64.0 °F,87%,29.91 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,68.0 °F,64.0 °F,87%,29.91 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
