Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,66.9 °F,48.0 °F,51%,29.85 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:53 AM,63.0 °F,48.9 °F,60%,29.84 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,66.0 °F,43.0 °F,43%,29.83 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:53 AM,64.0 °F,41.0 °F,43%,29.82 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,64.0 °F,43.0 °F,46%,29.82 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:53 AM,60.1 °F,46.0 °F,60%,29.83 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:53 AM,64.0 °F,39.0 °F,40%,29.84 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,69.1 °F,37.0 °F,31%,29.85 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,75.9 °F,34.0 °F,22%,29.86 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,78.1 °F,32.0 °F,19%,29.86 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:53 AM,82.0 °F,32.0 °F,16%,29.85 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,84.9 °F,27.0 °F,12%,29.84 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,84.9 °F,26.1 °F,12%,29.82 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,80.1 °F,48.0 °F,32%,29.81 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,81.0 °F,42.1 °F,25%,29.79 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,79.0 °F,46.9 °F,32%,29.77 in,10.0 mi,West,17.3 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,78.8 °F,46.4 °F,32%,29.78 in,10.0 mi,West,16.1 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,75.2 °F,46.4 °F,36%,29.78 in,10.0 mi,WSW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,75.2 °F,44.6 °F,34%,29.77 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,75.0 °F,45.0 °F,34%,29.78 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,70.0 °F,55.0 °F,59%,29.79 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
9:53 PM,69.1 °F,57.9 °F,68%,29.79 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
10:53 PM,69.8 °F,57.2 °F,64%,29.79 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,66.2 °F,57.2 °F,73%,29.79 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
