Time (PDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,82.0 °F,84.5 °F,66.9 °F,60%,29.87 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Clear
1:53 AM,82.9 °F,85.4 °F,66.9 °F,58%,29.86 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:53 AM,82.9 °F,85.4 °F,66.9 °F,58%,29.85 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:53 AM,81.0 °F,83.3 °F,66.9 °F,62%,29.85 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,82.0 °F,84.5 °F,66.9 °F,60%,29.86 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
5:53 AM,80.6 °F,83.2 °F,68.0 °F,65%,29.87 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
6:53 AM,84.2 °F,87.3 °F,68.0 °F,58%,29.89 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,86.0 °F,89.4 °F,68.0 °F,55%,29.90 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,89.6 °F,93.4 °F,68.0 °F,49%,29.91 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,96.8 °F,100.7 °F,66.2 °F,37%,29.91 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,96.8 °F,101.8 °F,68.0 °F,39%,29.91 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,93.9 °F,98.6 °F,68.0 °F,43%,29.91 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
12:44 PM,84.9 °F,88.8 °F,69.1 °F,59%,29.94 in,10.0 mi,West,12.7 mph,21.9 mph,N/A,	 ,Mostly Cloudy
12:53 PM,86.0 °F,90.7 °F,70.0 °F,59%,29.93 in,10.0 mi,West,15.0 mph,21.9 mph,N/A,	 ,Mostly Cloudy
1:53 PM,84.0 °F,88.4 °F,70.0 °F,63%,29.92 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,82.4 °F,86.3 °F,69.8 °F,66%,29.91 in,10.0 mi,West,15.0 mph,  -,N/A,	 ,Scattered Clouds
3:53 PM,82.0 °F,85.5 °F,69.1 °F,65%,29.91 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,81.0 °F,84.4 °F,70.0 °F,69%,29.92 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,78.1 °F,  -,69.1 °F,74%,29.92 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,77.0 °F,  -,69.1 °F,76%,29.91 in,10.0 mi,WSW,15.0 mph,  -,0.00 in,Rain,Light Rain
7:53 PM,75.9 °F,  -,69.1 °F,79%,29.94 in,10.0 mi,WSW,6.9 mph,  -,0.00 in,	 ,Mostly Cloudy
8:53 PM,75.9 °F,  -,70.0 °F,82%,29.95 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
9:53 PM,75.0 °F,  -,70.0 °F,84%,29.94 in,10.0 mi,West,8.1 mph,  -,0.00 in,	 ,Mostly Cloudy
10:53 PM,75.0 °F,  -,69.1 °F,82%,29.96 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,75.0 °F,  -,69.1 °F,82%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
