Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,48.9 °F,37.9 °F,66%,30.20 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Clear
1:51 AM,50.0 °F,37.9 °F,63%,30.19 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Clear
2:51 AM,50.0 °F,37.0 °F,61%,30.19 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,50.0 °F,37.0 °F,61%,30.19 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
4:51 AM,50.0 °F,37.0 °F,61%,30.19 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:51 AM,50.0 °F,37.0 °F,61%,30.20 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:51 AM,50.0 °F,37.9 °F,63%,30.19 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,52.0 °F,39.0 °F,61%,30.19 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,54.0 °F,39.9 °F,59%,30.20 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,57.9 °F,42.1 °F,56%,30.19 in,10.0 mi,SW,13.8 mph,23.0 mph,N/A,	 ,Partly Cloudy
10:51 AM,62.1 °F,42.1 °F,48%,30.19 in,10.0 mi,WSW,13.8 mph,23.0 mph,N/A,	 ,Partly Cloudy
11:51 AM,64.9 °F,42.1 °F,43%,30.18 in,10.0 mi,SW,19.6 mph,26.5 mph,N/A,	 ,Partly Cloudy
12:51 PM,66.9 °F,42.1 °F,40%,30.16 in,10.0 mi,SW,15.0 mph,26.5 mph,N/A,	 ,Partly Cloudy
1:51 PM,69.1 °F,41.0 °F,36%,30.14 in,10.0 mi,SW,17.3 mph,27.6 mph,N/A,	 ,Partly Cloudy
2:51 PM,70.0 °F,37.9 °F,31%,30.13 in,10.0 mi,SW,18.4 mph,  -,N/A,	 ,Partly Cloudy
3:51 PM,70.0 °F,37.9 °F,31%,30.12 in,10.0 mi,SSW,16.1 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,69.1 °F,39.0 °F,33%,30.11 in,10.0 mi,WSW,12.7 mph,23.0 mph,N/A,	 ,Partly Cloudy
5:51 PM,66.9 °F,39.9 °F,37%,30.11 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,64.0 °F,41.0 °F,43%,30.12 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:51 PM,62.1 °F,41.0 °F,46%,30.13 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,61.0 °F,39.9 °F,46%,30.14 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Clear
9:51 PM,59.0 °F,41.0 °F,51%,30.15 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,57.0 °F,41.0 °F,55%,30.14 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
11:51 PM,57.0 °F,39.9 °F,53%,30.14 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
