Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,64.9 °F,48.0 °F,54%,30.04 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
1:51 AM,64.9 °F,48.0 °F,54%,30.04 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Overcast
2:51 AM,63.0 °F,48.0 °F,58%,30.04 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,63.0 °F,48.0 °F,58%,30.04 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:51 AM,63.0 °F,48.0 °F,58%,30.04 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:51 AM,60.1 °F,48.9 °F,67%,30.04 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,61.0 °F,48.9 °F,64%,30.05 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
7:51 AM,62.1 °F,48.9 °F,62%,30.05 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,62.1 °F,48.9 °F,62%,30.06 in,10.0 mi,South,16.1 mph,24.2 mph,N/A,	 ,Overcast
9:51 AM,64.0 °F,50.0 °F,60%,30.06 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
10:51 AM,68.0 °F,52.0 °F,56%,30.05 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Scattered Clouds
11:51 AM,72.0 °F,54.0 °F,53%,30.04 in,10.0 mi,SSW,16.1 mph,26.5 mph,N/A,	 ,Mostly Cloudy
12:51 PM,73.9 °F,55.0 °F,52%,30.02 in,10.0 mi,South,18.4 mph,25.3 mph,N/A,	 ,Scattered Clouds
1:51 PM,75.9 °F,55.9 °F,50%,29.99 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Scattered Clouds
2:51 PM,75.9 °F,55.9 °F,50%,29.98 in,10.0 mi,South,16.1 mph,23.0 mph,N/A,	 ,Partly Cloudy
3:51 PM,75.9 °F,57.0 °F,52%,29.96 in,10.0 mi,SSW,17.3 mph,27.6 mph,N/A,	 ,Mostly Cloudy
4:51 PM,75.0 °F,57.9 °F,55%,29.97 in,10.0 mi,South,16.1 mph,25.3 mph,N/A,	 ,Mostly Cloudy
5:51 PM,73.9 °F,57.9 °F,57%,29.99 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,72.0 °F,57.0 °F,59%,29.99 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Mostly Cloudy
7:51 PM,71.1 °F,57.0 °F,61%,29.99 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,70.0 °F,57.0 °F,63%,29.99 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,69.1 °F,55.9 °F,63%,29.99 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,69.1 °F,55.0 °F,61%,29.99 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Partly Cloudy
11:51 PM,66.9 °F,55.0 °F,66%,29.99 in,10.0 mi,South,19.6 mph,  -,N/A,	 ,Partly Cloudy
