Time (CDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,53.1 °F,  -,43.0 °F,69%,29.58 in,10.0 mi,WSW,18.4 mph,26.5 mph,N/A,	 ,Overcast
1:51 AM,48.9 °F,  -,39.9 °F,71%,29.62 in,10.0 mi,West,16.1 mph,25.3 mph,N/A,	 ,Overcast
2:51 AM,45.0 °F,37.6 °F,36.0 °F,71%,29.65 in,10.0 mi,West,17.3 mph,24.2 mph,N/A,	 ,Overcast
3:23 AM,44.1 °F,37.4 °F,35.1 °F,71%,29.65 in,10.0 mi,West,13.8 mph,26.5 mph,N/A,	 ,Overcast
3:51 AM,43.0 °F,34.0 °F,33.1 °F,68%,29.68 in,10.0 mi,West,21.9 mph,29.9 mph,N/A,	 ,Overcast
4:51 AM,42.1 °F,35.2 °F,32.0 °F,67%,29.70 in,10.0 mi,West,12.7 mph,25.3 mph,N/A,	 ,Overcast
5:51 AM,41.0 °F,32.2 °F,30.9 °F,67%,29.73 in,10.0 mi,West,18.4 mph,26.5 mph,N/A,	 ,Overcast
6:51 AM,39.9 °F,32.9 °F,30.9 °F,70%,29.74 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Overcast
7:33 AM,39.0 °F,31.0 °F,28.9 °F,67%,29.74 in,10.0 mi,West,13.8 mph,25.3 mph,N/A,	 ,Overcast
7:51 AM,39.0 °F,31.8 °F,28.9 °F,67%,29.75 in,10.0 mi,West,11.5 mph,23.0 mph,N/A,	 ,Overcast
8:51 AM,37.9 °F,27.9 °F,28.0 °F,68%,29.78 in,10.0 mi,West,19.6 mph,27.6 mph,N/A,	 ,Overcast
9:51 AM,37.9 °F,29.6 °F,28.0 °F,68%,29.80 in,10.0 mi,West,13.8 mph,21.9 mph,N/A,	 ,Overcast
10:51 AM,37.9 °F,28.2 °F,27.0 °F,65%,29.81 in,10.0 mi,West,18.4 mph,25.3 mph,N/A,	 ,Overcast
11:51 AM,39.0 °F,29.3 °F,26.1 °F,60%,29.82 in,10.0 mi,WSW,19.6 mph,26.5 mph,N/A,	 ,Overcast
12:15 PM,39.0 °F,29.0 °F,26.1 °F,60%,29.80 in,10.0 mi,WSW,20.7 mph,27.6 mph,N/A,	 ,Overcast
12:51 PM,39.0 °F,29.9 °F,27.0 °F,62%,29.81 in,10.0 mi,WSW,17.3 mph,26.5 mph,N/A,	 ,Overcast
1:51 PM,39.9 °F,30.8 °F,27.0 °F,60%,29.80 in,10.0 mi,WSW,18.4 mph,33.4 mph,N/A,	 ,Overcast
2:51 PM,39.9 °F,31.4 °F,27.0 °F,60%,29.81 in,10.0 mi,WSW,16.1 mph,27.6 mph,N/A,	 ,Overcast
3:51 PM,41.0 °F,34.3 °F,27.0 °F,57%,29.81 in,10.0 mi,SW,11.5 mph,21.9 mph,N/A,	 ,Overcast
4:51 PM,41.0 °F,33.9 °F,27.0 °F,57%,29.82 in,10.0 mi,WSW,12.7 mph,27.6 mph,N/A,	 ,Overcast
5:51 PM,39.9 °F,32.1 °F,28.0 °F,63%,29.84 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Overcast
6:51 PM,39.9 °F,31.1 °F,28.0 °F,63%,29.85 in,10.0 mi,SW,17.3 mph,26.5 mph,N/A,	 ,Overcast
7:51 PM,39.0 °F,31.0 °F,28.9 °F,67%,29.85 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Overcast
8:51 PM,39.0 °F,30.6 °F,28.9 °F,67%,29.84 in,10.0 mi,WSW,15.0 mph,23.0 mph,N/A,	 ,Overcast
9:51 PM,39.0 °F,31.4 °F,28.9 °F,67%,29.83 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Overcast
10:51 PM,39.0 °F,31.0 °F,30.0 °F,70%,29.83 in,10.0 mi,SW,13.8 mph,23.0 mph,N/A,	 ,Overcast
11:51 PM,37.9 °F,28.9 °F,28.9 °F,70%,29.82 in,10.0 mi,WSW,16.1 mph,  -,N/A,	 ,Overcast
