Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,34.0 °F,28.8 °F,30.9 °F,89%,30.36 in,6.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:51 AM,33.1 °F,30.0 °F,30.0 °F,89%,30.36 in,5.0 mi,South,3.5 mph,  -,N/A,	 ,Clear
2:51 AM,33.1 °F,26.9 °F,30.0 °F,89%,30.35 in,5.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
3:42 AM,30.0 °F,26.5 °F,28.0 °F,92%,30.32 in,4.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
3:51 AM,32.0 °F,  -,28.9 °F,88%,30.34 in,4.0 mi,Calm,Calm,  -,N/A,	 ,Clear
4:51 AM,30.9 °F,25.2 °F,28.9 °F,92%,30.34 in,3.0 mi,SSE,5.8 mph,  -,N/A,	 ,Clear
5:51 AM,32.0 °F,27.5 °F,30.0 °F,92%,30.34 in,3.0 mi,South,4.6 mph,  -,N/A,	 ,Clear
6:51 AM,33.1 °F,27.7 °F,30.0 °F,89%,30.34 in,3.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:49 AM,35.6 °F,28.6 °F,32.0 °F,87%,30.31 in,5.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:51 AM,36.0 °F,29.0 °F,32.0 °F,86%,30.33 in,5.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,39.0 °F,31.8 °F,33.1 °F,79%,30.33 in,6.0 mi,South,11.5 mph,  -,N/A,	 ,Haze
9:51 AM,44.1 °F,37.7 °F,35.1 °F,71%,30.30 in,9.0 mi,South,12.7 mph,  -,N/A,	 ,Mostly Cloudy
10:51 AM,46.9 °F,  -,35.1 °F,63%,30.27 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,46.0 °F,40.2 °F,35.1 °F,66%,30.23 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
12:51 PM,46.9 °F,  -,35.1 °F,63%,30.20 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
1:51 PM,48.0 °F,  -,36.0 °F,63%,30.18 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
2:51 PM,48.9 °F,  -,36.0 °F,61%,30.17 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
3:51 PM,48.0 °F,  -,37.0 °F,66%,30.14 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Overcast
4:51 PM,48.0 °F,  -,36.0 °F,63%,30.12 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
5:51 PM,48.0 °F,  -,36.0 °F,63%,30.11 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Overcast
6:51 PM,48.0 °F,  -,36.0 °F,63%,30.11 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
7:51 PM,48.0 °F,  -,36.0 °F,63%,30.07 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
8:51 PM,48.0 °F,  -,37.0 °F,66%,30.06 in,9.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
9:51 PM,48.0 °F,  -,36.0 °F,63%,30.05 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Overcast
10:51 PM,48.0 °F,  -,36.0 °F,63%,30.04 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
11:51 PM,48.9 °F,  -,36.0 °F,61%,30.02 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Overcast
