Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:46 AM,33.8 °F,24.8 °F,24.8 °F,70%,30.03 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Overcast
12:51 AM,33.1 °F,24.4 °F,24.1 °F,70%,30.04 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Overcast
1:12 AM,33.1 °F,24.9 °F,24.1 °F,70%,30.02 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Overcast
1:51 AM,32.0 °F,23.6 °F,24.1 °F,73%,30.04 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
2:51 AM,32.0 °F,23.0 °F,24.1 °F,73%,30.05 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,30.9 °F,22.8 °F,24.1 °F,76%,30.04 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:09 AM,30.9 °F,22.8 °F,23.0 °F,72%,30.02 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
4:43 AM,30.0 °F,20.5 °F,21.9 °F,72%,30.00 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:51 AM,30.0 °F,21.1 °F,21.9 °F,72%,30.02 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:51 AM,28.0 °F,18.1 °F,19.0 °F,69%,30.06 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,27.0 °F,16.7 °F,15.1 °F,61%,30.07 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:51 AM,26.1 °F,18.4 °F,15.1 °F,63%,30.06 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,27.0 °F,16.7 °F,15.1 °F,61%,30.08 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
9:51 AM,28.9 °F,21.1 °F,15.1 °F,56%,30.12 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:51 AM,30.0 °F,21.1 °F,15.1 °F,54%,30.12 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:51 AM,30.9 °F,20.7 °F,17.1 °F,57%,30.12 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Scattered Clouds
12:51 PM,28.0 °F,17.0 °F,17.1 °F,63%,30.14 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Overcast
1:51 PM,28.0 °F,20.0 °F,16.0 °F,61%,30.12 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:51 PM,27.0 °F,17.3 °F,15.1 °F,61%,30.15 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:51 PM,26.1 °F,15.6 °F,15.1 °F,63%,30.18 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,25.0 °F,14.8 °F,14.0 °F,63%,30.21 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:51 PM,24.1 °F,15.2 °F,12.9 °F,62%,30.23 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,23.0 °F,13.1 °F,12.9 °F,65%,30.25 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:51 PM,21.9 °F,11.7 °F,12.0 °F,66%,30.26 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:51 PM,21.9 °F,17.2 °F,12.0 °F,66%,30.28 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:51 PM,21.0 °F,12.4 °F,10.9 °F,65%,30.27 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:51 PM,21.0 °F,16.2 °F,10.9 °F,65%,30.27 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:51 PM,21.0 °F,16.2 °F,10.0 °F,63%,30.29 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
