Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,1.9 °F,-15.5 °F,-9.9 °F,58%,30.49 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
1:51 AM,1.0 °F,-15.8 °F,-9.9 °F,60%,30.51 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:51 AM,-0.0 °F,-17.1 °F,-9.9 °F,63%,30.53 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:51 AM,-0.9 °F,-19.9 °F,-9.9 °F,66%,30.55 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Overcast
4:51 AM,-0.9 °F,-15.3 °F,-11.0 °F,62%,30.56 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:51 AM,-2.0 °F,-16.6 °F,-11.0 °F,66%,30.58 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,-2.9 °F,-18.8 °F,-11.9 °F,65%,30.59 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:51 AM,-2.9 °F,-17.7 °F,-11.9 °F,65%,30.61 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,-2.0 °F,-18.7 °F,-11.9 °F,63%,30.63 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:51 AM,-0.9 °F,-14.1 °F,-11.0 °F,62%,30.63 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:51 AM,1.0 °F,-14.0 °F,-9.0 °F,63%,30.65 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:51 AM,3.0 °F,-11.5 °F,-9.0 °F,57%,30.62 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
12:51 PM,3.9 °F,-11.3 °F,-9.9 °F,53%,30.60 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,3.9 °F,-13.0 °F,-9.0 °F,55%,30.60 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:51 PM,3.9 °F,-11.3 °F,-9.0 °F,55%,30.61 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,3.9 °F,-12.2 °F,-9.0 °F,55%,30.61 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:51 PM,3.0 °F,-11.5 °F,-9.0 °F,57%,30.61 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,3.0 °F,-10.5 °F,-8.0 °F,60%,30.63 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,1.9 °F,-13.8 °F,-8.0 °F,63%,30.64 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,1.0 °F,-6.7 °F,-8.0 °F,66%,30.66 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Clear
9:51 PM,1.0 °F,-14.9 °F,-8.0 °F,66%,30.67 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
10:51 PM,1.0 °F,-15.8 °F,-9.0 °F,63%,30.68 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
11:51 PM,-0.0 °F,-15.3 °F,-9.0 °F,66%,30.69 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
