Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:39 AM,41.0 °F,39.0 °F,41.0 °F,100%,29.58 in,1.5 mi,WNW,3.5 mph,  -,N/A,	 ,Overcast
12:51 AM,42.1 °F,38.4 °F,41.0 °F,96%,29.59 in,1.5 mi,WNW,5.8 mph,  -,N/A,	 ,Overcast
1:07 AM,42.1 °F,  -,42.1 °F,100%,29.58 in,0.5 mi,Calm,Calm,  -,N/A,Fog,Fog
1:13 AM,42.1 °F,  -,42.1 °F,100%,29.58 in,1.5 mi,Calm,Calm,  -,N/A,	 ,Overcast
1:26 AM,41.0 °F,39.0 °F,41.0 °F,100%,29.58 in,2.0 mi,SSW,3.5 mph,  -,N/A,	 ,Overcast
1:51 AM,39.9 °F,  -,39.9 °F,100%,29.59 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
2:24 AM,39.9 °F,37.8 °F,39.9 °F,100%,29.58 in,0.5 mi,SW,3.5 mph,  -,N/A,Fog,Fog
2:32 AM,41.0 °F,39.0 °F,41.0 °F,100%,29.58 in,0.5 mi,SSW,3.5 mph,  -,N/A,Fog,Fog
2:42 AM,41.0 °F,  -,41.0 °F,100%,29.58 in,0.5 mi,Calm,Calm,  -,N/A,Fog,Fog
2:51 AM,41.0 °F,  -,41.0 °F,100%,29.58 in,0.5 mi,Calm,Calm,  -,N/A,Fog,Fog
2:59 AM,41.0 °F,  -,41.0 °F,100%,29.57 in,0.2 mi,Calm,Calm,  -,N/A,Fog,Fog
3:29 AM,41.0 °F,  -,41.0 °F,100%,29.58 in,1.5 mi,Calm,Calm,  -,N/A,	 ,Overcast
3:49 AM,39.2 °F,  -,39.2 °F,100%,29.58 in,3.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
3:51 AM,39.0 °F,  -,39.0 °F,100%,29.58 in,3.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:36 AM,39.9 °F,35.8 °F,39.0 °F,97%,29.57 in,5.0 mi,NW,5.8 mph,  -,N/A,	 ,Overcast
4:51 AM,39.9 °F,35.8 °F,39.0 °F,97%,29.57 in,5.0 mi,NNW,5.8 mph,  -,N/A,	 ,Overcast
5:51 AM,41.0 °F,38.0 °F,37.9 °F,89%,29.60 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,39.9 °F,37.8 °F,37.9 °F,93%,29.62 in,9.0 mi,NNW,3.5 mph,  -,N/A,	 ,Overcast
7:51 AM,41.0 °F,38.0 °F,37.9 °F,89%,29.63 in,7.0 mi,NNE,4.6 mph,  -,N/A,	 ,Overcast
8:51 AM,41.0 °F,38.0 °F,37.9 °F,89%,29.64 in,8.0 mi,North,4.6 mph,  -,N/A,	 ,Overcast
9:51 AM,42.1 °F,38.4 °F,39.0 °F,89%,29.65 in,7.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
10:51 AM,44.1 °F,41.5 °F,39.0 °F,82%,29.65 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Overcast
11:36 AM,44.1 °F,42.5 °F,39.0 °F,82%,29.62 in,8.0 mi,ENE,3.5 mph,  -,N/A,	 ,Overcast
11:51 AM,45.0 °F,  -,39.0 °F,80%,29.63 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
12:06 PM,45.0 °F,  -,39.0 °F,80%,29.62 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
12:51 PM,45.0 °F,42.6 °F,39.0 °F,80%,29.62 in,8.0 mi,North,4.6 mph,  -,N/A,	 ,Overcast
1:51 PM,45.0 °F,41.8 °F,39.0 °F,80%,29.61 in,7.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
2:09 PM,45.0 °F,41.2 °F,39.0 °F,80%,29.60 in,8.0 mi,North,6.9 mph,  -,N/A,	 ,Overcast
2:30 PM,45.0 °F,40.6 °F,39.0 °F,80%,29.60 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
2:51 PM,45.0 °F,40.1 °F,39.0 °F,80%,29.62 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
3:06 PM,44.1 °F,39.0 °F,39.0 °F,82%,29.61 in,10.0 mi,North,9.2 mph,  -,0.00 in,	 ,Overcast
3:51 PM,44.1 °F,39.5 °F,37.9 °F,79%,29.63 in,10.0 mi,North,8.1 mph,  -,0.00 in,	 ,Overcast
4:51 PM,43.0 °F,38.2 °F,37.9 °F,82%,29.65 in,9.0 mi,North,8.1 mph,  -,0.00 in,Rain,Light Rain
5:51 PM,42.1 °F,36.6 °F,37.9 °F,85%,29.66 in,9.0 mi,NNE,9.2 mph,  -,0.01 in,	 ,Overcast
6:51 PM,41.0 °F,36.4 °F,37.9 °F,89%,29.65 in,9.0 mi,NNE,6.9 mph,  -,N/A,	 ,Overcast
7:51 PM,39.9 °F,35.1 °F,37.0 °F,89%,29.66 in,9.0 mi,North,6.9 mph,  -,N/A,	 ,Overcast
8:51 PM,39.9 °F,36.7 °F,37.9 °F,93%,29.68 in,9.0 mi,NNE,4.6 mph,  -,N/A,	 ,Overcast
9:29 PM,39.9 °F,36.7 °F,37.9 °F,93%,29.68 in,9.0 mi,NNE,4.6 mph,  -,N/A,	 ,Overcast
9:51 PM,39.9 °F,35.8 °F,37.9 °F,93%,29.69 in,9.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
10:51 PM,39.9 °F,33.9 °F,37.0 °F,89%,29.70 in,9.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
11:16 PM,39.9 °F,32.9 °F,37.0 °F,89%,29.69 in,7.0 mi,North,11.5 mph,  -,N/A,	 ,Overcast
11:51 PM,39.0 °F,32.8 °F,37.0 °F,93%,29.71 in,6.0 mi,North,9.2 mph,  -,N/A,	 ,Overcast
