Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,3.0 °F,-11.5 °F,-8.0 °F,60%,30.16 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
1:51 AM,1.9 °F,-11.8 °F,-7.1 °F,66%,30.17 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
2:30 AM,1.9 °F,-12.9 °F,-7.1 °F,66%,30.14 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,1.9 °F,-12.9 °F,-7.1 °F,66%,30.19 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:13 AM,1.9 °F,-15.5 °F,-6.0 °F,69%,30.14 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
3:23 AM,1.0 °F,-14.0 °F,-7.1 °F,69%,30.14 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:51 AM,1.0 °F,-15.8 °F,-7.1 °F,69%,30.19 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:51 AM,-0.0 °F,-18.0 °F,-8.0 °F,69%,30.20 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:51 AM,-0.0 °F,-17.1 °F,-9.0 °F,66%,30.22 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
6:51 AM,-0.0 °F,-16.3 °F,-8.0 °F,69%,30.24 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,-0.0 °F,-16.3 °F,-7.1 °F,72%,30.27 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,1.9 °F,-14.7 °F,-6.0 °F,69%,30.28 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,3.9 °F,-11.3 °F,-5.1 °F,66%,30.30 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,6.1 °F,-10.2 °F,-5.1 °F,60%,30.31 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Scattered Clouds
11:51 AM,7.0 °F,-9.1 °F,-5.1 °F,58%,30.30 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
12:02 PM,8.1 °F,-6.2 °F,-5.1 °F,55%,30.25 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
12:44 PM,8.1 °F,-8.4 °F,-4.0 °F,58%,30.25 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,9.0 °F,-6.6 °F,-5.1 °F,53%,30.30 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,7.0 °F,-10.4 °F,-7.1 °F,53%,30.30 in,10.0 mi,West,15.0 mph,  -,0.00 in,	 ,Mostly Cloudy
2:51 PM,8.1 °F,-6.2 °F,-6.0 °F,53%,30.31 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,7.0 °F,-4.5 °F,-9.0 °F,48%,30.32 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:51 PM,6.1 °F,-9.5 °F,-8.0 °F,53%,30.36 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,5.0 °F,-9.1 °F,-8.0 °F,55%,30.38 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,3.9 °F,-6.9 °F,-7.1 °F,60%,30.40 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
7:51 PM,3.0 °F,-11.5 °F,-8.0 °F,60%,30.40 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
8:51 PM,1.9 °F,-10.6 °F,-8.0 °F,63%,30.44 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
9:51 PM,1.9 °F,-11.8 °F,-8.0 °F,63%,30.45 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
10:51 PM,1.9 °F,-12.9 °F,-7.1 °F,66%,30.45 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
11:51 PM,1.9 °F,-10.6 °F,-7.1 °F,66%,30.47 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
