Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,39.0 °F,34.0 °F,33.1 °F,79%,29.77 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
1:51 AM,39.9 °F,34.5 °F,33.1 °F,77%,29.78 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
2:51 AM,37.9 °F,35.5 °F,33.1 °F,83%,29.77 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,37.0 °F,32.4 °F,33.1 °F,86%,29.80 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:51 AM,37.9 °F,34.4 °F,33.1 °F,83%,29.82 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Overcast
5:51 AM,34.0 °F,  -,32.0 °F,92%,29.82 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:51 AM,37.0 °F,33.3 °F,34.0 °F,89%,29.85 in,8.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:51 AM,37.9 °F,35.5 °F,34.0 °F,86%,29.90 in,7.0 mi,West,3.5 mph,  -,N/A,	 ,Overcast
8:51 AM,39.9 °F,  -,35.1 °F,83%,29.92 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
9:51 AM,45.0 °F,  -,35.1 °F,68%,29.90 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
10:51 AM,46.0 °F,44.8 °F,35.1 °F,66%,29.90 in,9.0 mi,NE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,46.9 °F,  -,35.1 °F,63%,29.89 in,9.0 mi,ENE,4.6 mph,  -,N/A,	 ,Overcast
12:51 PM,48.9 °F,  -,35.1 °F,59%,29.87 in,8.0 mi,NE,4.6 mph,  -,N/A,	 ,Overcast
1:51 PM,46.9 °F,  -,35.1 °F,63%,29.88 in,9.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
2:51 PM,45.0 °F,40.6 °F,34.0 °F,65%,29.89 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Overcast
3:51 PM,44.1 °F,38.6 °F,33.1 °F,65%,29.90 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Overcast
4:51 PM,41.0 °F,34.3 °F,33.1 °F,73%,29.90 in,9.0 mi,NNE,11.5 mph,  -,N/A,	 ,Overcast
5:51 PM,39.9 °F,35.1 °F,33.1 °F,77%,29.94 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
6:51 PM,39.0 °F,32.3 °F,34.0 °F,82%,29.96 in,9.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
7:51 PM,37.0 °F,31.0 °F,33.1 °F,86%,29.95 in,9.0 mi,NE,8.1 mph,  -,N/A,	 ,Overcast
8:51 PM,37.0 °F,29.8 °F,34.0 °F,89%,29.95 in,8.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
9:51 PM,37.0 °F,28.9 °F,34.0 °F,89%,29.91 in,8.0 mi,NNE,12.7 mph,  -,N/A,	 ,Overcast
10:51 PM,37.0 °F,29.8 °F,33.1 °F,86%,29.92 in,8.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
11:51 PM,37.0 °F,28.5 °F,33.1 °F,86%,29.94 in,10.0 mi,NNE,13.8 mph,  -,N/A,	 ,Overcast
