Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,37.0 °F,29.8 °F,32.0 °F,82%,29.94 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
1:51 AM,36.0 °F,28.5 °F,30.9 °F,82%,29.96 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
2:51 AM,36.0 °F,28.5 °F,32.0 °F,86%,29.97 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
3:51 AM,35.1 °F,29.3 °F,30.9 °F,85%,29.94 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Overcast
4:51 AM,35.1 °F,28.6 °F,30.9 °F,85%,29.99 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Overcast
5:51 AM,35.1 °F,29.3 °F,30.9 °F,85%,30.00 in,9.0 mi,WNW,6.9 mph,  -,N/A,	 ,Overcast
6:51 AM,35.1 °F,29.3 °F,30.9 °F,85%,30.02 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
7:51 AM,36.0 °F,29.0 °F,30.9 °F,82%,30.05 in,8.0 mi,WSW,9.2 mph,  -,0.00 in,	 ,Light Drizzle
8:51 AM,39.0 °F,31.8 °F,33.1 °F,79%,30.04 in,7.0 mi,WSW,11.5 mph,  -,0.00 in,	 ,Mostly Cloudy
9:51 AM,45.0 °F,37.9 °F,35.1 °F,68%,30.02 in,10.0 mi,West,16.1 mph,29.9 mph,N/A,	 ,Partly Cloudy
10:38 AM,44.1 °F,34.8 °F,34.0 °F,68%,30.03 in,10.0 mi,WNW,25.3 mph,35.7 mph,N/A,	 ,Mostly Cloudy
10:51 AM,44.1 °F,34.2 °F,34.0 °F,68%,30.05 in,10.0 mi,WNW,28.8 mph,36.8 mph,N/A,	 ,Mostly Cloudy
11:04 AM,44.1 °F,35.4 °F,32.0 °F,63%,30.04 in,10.0 mi,WNW,21.9 mph,36.8 mph,N/A,	 ,Scattered Clouds
11:51 AM,46.0 °F,37.2 °F,26.1 °F,46%,30.05 in,10.0 mi,NW,26.5 mph,35.7 mph,N/A,	 ,Partly Cloudy
12:51 PM,46.9 °F,  -,19.0 °F,33%,30.07 in,10.0 mi,NW,26.5 mph,41.4 mph,N/A,	 ,Partly Cloudy
1:51 PM,46.0 °F,37.0 °F,19.0 °F,34%,30.09 in,10.0 mi,WNW,27.6 mph,39.1 mph,N/A,	 ,Partly Cloudy
2:51 PM,44.1 °F,33.7 °F,15.1 °F,31%,30.14 in,10.0 mi,WNW,32.2 mph,42.6 mph,N/A,	 ,Partly Cloudy
3:51 PM,43.0 °F,33.5 °F,10.9 °F,27%,30.19 in,10.0 mi,NNW,24.2 mph,42.6 mph,N/A,	 ,Partly Cloudy
4:51 PM,39.9 °F,29.5 °F,14.0 °F,35%,30.23 in,10.0 mi,WNW,24.2 mph,35.7 mph,N/A,	 ,Clear
5:51 PM,37.9 °F,27.3 °F,15.1 °F,39%,30.26 in,10.0 mi,NW,21.9 mph,31.1 mph,N/A,	 ,Clear
6:51 PM,37.0 °F,28.1 °F,16.0 °F,42%,30.29 in,10.0 mi,WNW,15.0 mph,23.0 mph,N/A,	 ,Clear
7:51 PM,36.0 °F,27.5 °F,17.1 °F,46%,30.31 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Clear
8:51 PM,34.0 °F,26.0 °F,19.0 °F,54%,30.34 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
9:51 PM,34.0 °F,25.5 °F,19.9 °F,56%,30.35 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
10:51 PM,32.0 °F,24.2 °F,19.9 °F,61%,30.35 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
11:51 PM,30.9 °F,21.7 °F,21.0 °F,67%,30.35 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
