Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,32.0 °F,23.0 °F,16.0 °F,52%,29.81 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
1:51 AM,32.0 °F,22.1 °F,10.0 °F,40%,29.83 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
2:51 AM,30.0 °F,20.0 °F,10.9 °F,45%,29.83 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Clear
3:51 AM,28.9 °F,19.2 °F,12.0 °F,49%,29.85 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
4:51 AM,28.0 °F,18.6 °F,12.9 °F,53%,29.86 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
5:51 AM,27.0 °F,16.1 °F,12.9 °F,56%,29.88 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
6:51 AM,27.0 °F,15.2 °F,12.0 °F,53%,29.91 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,28.0 °F,17.0 °F,12.9 °F,53%,29.92 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Scattered Clouds
8:51 AM,28.9 °F,18.2 °F,14.0 °F,54%,29.92 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
9:51 AM,30.0 °F,18.7 °F,14.0 °F,51%,29.93 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
10:51 AM,30.9 °F,21.2 °F,14.0 °F,50%,29.94 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,32.0 °F,21.6 °F,15.1 °F,50%,29.92 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,32.0 °F,22.1 °F,15.1 °F,50%,29.93 in,10.0 mi,NW,13.8 mph,20.7 mph,N/A,	 ,Mostly Cloudy
1:51 PM,33.1 °F,24.4 °F,16.0 °F,50%,29.91 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:51 PM,34.0 °F,24.6 °F,16.0 °F,48%,29.91 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
3:51 PM,34.0 °F,25.5 °F,15.1 °F,46%,29.91 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,34.0 °F,25.0 °F,12.0 °F,40%,29.91 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,33.1 °F,26.1 °F,12.0 °F,42%,29.92 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,32.0 °F,24.8 °F,12.0 °F,44%,29.93 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
7:51 PM,32.0 °F,24.8 °F,14.0 °F,48%,29.93 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
8:51 PM,30.9 °F,25.2 °F,14.0 °F,50%,29.94 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Overcast
9:51 PM,30.9 °F,27.5 °F,15.1 °F,52%,29.94 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Overcast
10:51 PM,32.0 °F,26.4 °F,14.0 °F,48%,29.94 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Overcast
11:51 PM,30.9 °F,23.5 °F,12.9 °F,47%,29.94 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
