Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,55.0 °F,  -,34.0 °F,45%,29.64 in,10.0 mi,SW,10.4 mph,18.4 mph,N/A,	 ,Clear
1:51 AM,53.1 °F,  -,34.0 °F,48%,29.65 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
2:51 AM,51.1 °F,  -,34.0 °F,52%,29.64 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
3:51 AM,50.0 °F,  -,34.0 °F,54%,29.63 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
4:51 AM,48.0 °F,  -,34.0 °F,58%,29.66 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:51 AM,46.0 °F,42.5 °F,34.0 °F,63%,29.66 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:51 AM,44.1 °F,40.8 °F,33.1 °F,65%,29.69 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,46.0 °F,43.1 °F,34.0 °F,63%,29.72 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,50.0 °F,  -,36.0 °F,59%,29.73 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,55.0 °F,  -,37.0 °F,51%,29.73 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,60.1 °F,  -,37.0 °F,42%,29.74 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:51 AM,64.9 °F,  -,36.0 °F,34%,29.72 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,68.0 °F,  -,35.1 °F,30%,29.70 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:51 PM,69.1 °F,  -,33.1 °F,26%,29.69 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
2:51 PM,70.0 °F,  -,33.1 °F,26%,29.70 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:51 PM,69.1 °F,  -,33.1 °F,26%,29.71 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,66.0 °F,  -,37.0 °F,34%,29.73 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,59.0 °F,  -,37.0 °F,44%,29.75 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
6:51 PM,54.0 °F,  -,36.0 °F,51%,29.78 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
7:51 PM,52.0 °F,  -,36.0 °F,54%,29.80 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:51 PM,46.9 °F,  -,35.1 °F,63%,29.81 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:51 PM,48.0 °F,  -,36.0 °F,63%,29.82 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
10:51 PM,44.1 °F,42.5 °F,36.0 °F,73%,29.84 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Clear
11:51 PM,41.0 °F,  -,34.0 °F,76%,29.85 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
