Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,41.0 °F,  -,32.0 °F,70%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:51 AM,45.0 °F,41.8 °F,36.0 °F,71%,30.12 in,8.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,44.1 °F,40.1 °F,37.9 °F,79%,30.11 in,7.0 mi,SE,6.9 mph,  -,N/A,	 ,Overcast
3:51 AM,44.1 °F,  -,39.0 °F,82%,30.11 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:51 AM,46.0 °F,41.9 °F,42.1 °F,86%,30.10 in,6.0 mi,SE,8.1 mph,  -,N/A,	 ,Overcast
5:51 AM,46.0 °F,43.1 °F,43.0 °F,89%,30.13 in,5.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:32 AM,44.1 °F,40.1 °F,41.0 °F,89%,30.13 in,3.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,44.1 °F,39.5 °F,42.1 °F,93%,30.14 in,3.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:51 AM,48.9 °F,  -,45.0 °F,86%,30.14 in,3.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,52.0 °F,  -,46.9 °F,83%,30.13 in,4.0 mi,South,11.5 mph,  -,N/A,	 ,Haze
9:39 AM,57.0 °F,  -,46.9 °F,69%,30.11 in,5.0 mi,SSE,13.8 mph,  -,N/A,	 ,Haze
9:51 AM,57.0 °F,  -,46.9 °F,69%,30.12 in,6.0 mi,South,12.7 mph,  -,N/A,	 ,Haze
10:51 AM,62.1 °F,  -,46.9 °F,58%,30.09 in,8.0 mi,South,17.3 mph,  -,N/A,	 ,Overcast
11:51 AM,64.9 °F,  -,46.9 °F,52%,30.06 in,10.0 mi,SSE,16.1 mph,  -,N/A,	 ,Overcast
12:51 PM,66.9 °F,  -,48.0 °F,51%,30.03 in,10.0 mi,SE,17.3 mph,  -,N/A,	 ,Overcast
1:51 PM,69.1 °F,  -,48.0 °F,47%,30.01 in,10.0 mi,SSE,18.4 mph,  -,N/A,	 ,Overcast
2:51 PM,69.1 °F,  -,46.9 °F,45%,29.98 in,10.0 mi,SE,17.3 mph,  -,N/A,	 ,Overcast
3:51 PM,68.0 °F,  -,46.9 °F,47%,29.96 in,10.0 mi,SE,21.9 mph,27.6 mph,N/A,	 ,Overcast
4:51 PM,66.0 °F,  -,46.9 °F,50%,29.97 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Overcast
5:51 PM,64.9 °F,  -,46.0 °F,50%,29.96 in,10.0 mi,SSE,16.1 mph,25.3 mph,N/A,	 ,Overcast
6:51 PM,63.0 °F,  -,44.1 °F,50%,29.95 in,10.0 mi,SSE,15.0 mph,24.2 mph,N/A,	 ,Overcast
7:51 PM,62.1 °F,  -,44.1 °F,52%,29.94 in,10.0 mi,SSE,17.3 mph,26.5 mph,N/A,	 ,Overcast
8:51 PM,60.1 °F,  -,45.0 °F,57%,29.94 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Overcast
9:51 PM,60.1 °F,  -,45.0 °F,57%,29.91 in,10.0 mi,SSE,16.1 mph,  -,N/A,	 ,Overcast
10:51 PM,60.1 °F,  -,45.0 °F,57%,29.91 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Overcast
11:51 PM,60.1 °F,  -,46.0 °F,60%,29.91 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Overcast
