Time (CST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:03 AM,52.0 °F,50.0 °F,93%,29.84 in,5.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:31 AM,55.0 °F,53.1 °F,93%,29.84 in,5.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
12:51 AM,55.9 °F,52.0 °F,87%,29.84 in,7.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:06 AM,55.0 °F,52.0 °F,89%,29.84 in,6.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:51 AM,54.0 °F,51.1 °F,90%,29.83 in,5.0 mi,SSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:05 AM,51.1 °F,48.9 °F,92%,29.82 in,3.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
2:51 AM,54.0 °F,52.0 °F,93%,29.81 in,2.0 mi,SSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:56 AM,55.0 °F,53.1 °F,93%,29.82 in,1.5 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:59 AM,55.0 °F,53.1 °F,93%,29.82 in,0.8 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:46 AM,55.4 °F,53.6 °F,94%,29.81 in,1.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
3:51 AM,55.0 °F,54.0 °F,96%,29.81 in,1.5 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
4:04 AM,55.9 °F,54.0 °F,93%,29.81 in,2.0 mi,SW,5.8 mph,  -,N/A,	 ,Overcast
4:33 AM,55.9 °F,54.0 °F,93%,29.82 in,1.2 mi,SW,8.1 mph,  -,N/A,	 ,Overcast
4:47 AM,55.4 °F,53.6 °F,94%,29.82 in,0.8 mi,SW,8.1 mph,  -,N/A,	 ,Overcast
4:51 AM,55.9 °F,54.0 °F,93%,29.81 in,0.8 mi,SSW,10.4 mph,  -,N/A,	 ,Overcast
5:51 AM,55.0 °F,53.1 °F,93%,29.81 in,0.5 mi,SW,9.2 mph,  -,N/A,Fog,Fog
6:23 AM,54.0 °F,53.1 °F,97%,29.80 in,1.2 mi,SW,5.8 mph,  -,N/A,	 ,Overcast
6:48 AM,53.6 °F,51.8 °F,94%,29.79 in,0.8 mi,SSW,10.4 mph,  -,N/A,	 ,Overcast
6:51 AM,53.1 °F,52.0 °F,96%,29.79 in,0.5 mi,SSW,10.4 mph,  -,N/A,Fog,Fog
7:51 AM,53.1 °F,52.0 °F,96%,29.78 in,0.8 mi,SSW,9.2 mph,  -,N/A,	 ,Overcast
8:28 AM,54.0 °F,52.0 °F,93%,29.79 in,1.2 mi,SW,8.1 mph,  -,N/A,	 ,Overcast
8:51 AM,54.0 °F,52.0 °F,93%,29.79 in,1.2 mi,SSW,8.1 mph,  -,N/A,	 ,Overcast
9:01 AM,54.0 °F,52.0 °F,93%,29.78 in,2.0 mi,SSW,9.2 mph,  -,N/A,	 ,Overcast
9:27 AM,55.0 °F,53.1 °F,93%,29.78 in,4.0 mi,SW,9.2 mph,  -,N/A,	 ,Overcast
9:34 AM,55.0 °F,53.1 °F,93%,29.78 in,4.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
9:47 AM,55.4 °F,53.6 °F,94%,29.77 in,5.0 mi,SW,9.2 mph,  -,N/A,	 ,Overcast
9:51 AM,55.0 °F,52.0 °F,89%,29.78 in,5.0 mi,SSW,10.4 mph,  -,N/A,	 ,Overcast
10:51 AM,57.9 °F,53.1 °F,84%,29.76 in,7.0 mi,SSW,11.5 mph,  -,N/A,	 ,Overcast
11:06 AM,60.1 °F,53.1 °F,78%,29.76 in,8.0 mi,SSW,15.0 mph,  -,N/A,	 ,Overcast
11:51 AM,61.0 °F,52.0 °F,72%,29.73 in,9.0 mi,SSW,10.4 mph,20.7 mph,N/A,	 ,Mostly Cloudy
12:08 PM,62.1 °F,53.1 °F,72%,29.72 in,9.0 mi,SSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
12:51 PM,64.0 °F,53.1 °F,67%,29.70 in,10.0 mi,SSW,11.5 mph,19.6 mph,N/A,	 ,Partly Cloudy
