Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,36.0 °F,33.3 °F,25.0 °F,64%,30.09 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:51 AM,34.0 °F,  -,24.1 °F,67%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:51 AM,33.1 °F,30.0 °F,24.1 °F,70%,30.11 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,27.0 °F,23.0 °F,21.9 °F,81%,30.12 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:51 AM,28.9 °F,  -,23.0 °F,78%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
5:51 AM,28.9 °F,23.9 °F,23.0 °F,78%,30.14 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:51 AM,28.9 °F,25.2 °F,23.0 °F,78%,30.14 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,35.1 °F,  -,28.0 °F,76%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
8:51 AM,39.9 °F,37.8 °F,30.0 °F,68%,30.17 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,43.0 °F,38.2 °F,30.9 °F,62%,30.17 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,46.9 °F,  -,32.0 °F,56%,30.16 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Clear
11:51 AM,48.9 °F,  -,32.0 °F,52%,30.16 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Scattered Clouds
12:51 PM,50.0 °F,  -,34.0 °F,54%,30.14 in,10.0 mi,SSW,12.7 mph,19.6 mph,N/A,	 ,Mostly Cloudy
1:51 PM,51.1 °F,  -,33.1 °F,50%,30.10 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Scattered Clouds
2:51 PM,53.1 °F,  -,33.1 °F,47%,30.09 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:51 PM,54.0 °F,  -,32.0 °F,43%,30.08 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,51.1 °F,  -,32.0 °F,48%,30.08 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
5:51 PM,48.0 °F,  -,34.0 °F,58%,30.08 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
6:51 PM,46.9 °F,  -,34.0 °F,61%,30.08 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
7:51 PM,45.0 °F,40.1 °F,34.0 °F,65%,30.07 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
8:51 PM,45.0 °F,39.7 °F,34.0 °F,65%,30.06 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Overcast
9:51 PM,46.9 °F,  -,36.0 °F,66%,30.04 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Overcast
10:51 PM,46.9 °F,  -,37.9 °F,71%,30.02 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Overcast
11:51 PM,48.0 °F,  -,39.9 °F,74%,30.01 in,10.0 mi,SSE,13.8 mph,  -,N/A,	 ,Overcast
