Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,16.0 °F,8.8 °F,3.9 °F,59%,30.47 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
1:51 AM,16.0 °F,8.8 °F,3.9 °F,59%,30.47 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Clear
2:51 AM,14.0 °F,6.5 °F,3.9 °F,64%,30.46 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Clear
3:51 AM,12.9 °F,5.2 °F,5.0 °F,71%,30.44 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Clear
4:51 AM,12.9 °F,2.6 °F,5.0 °F,71%,30.43 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Clear
5:51 AM,12.9 °F,3.8 °F,6.1 °F,74%,30.43 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Clear
6:51 AM,10.9 °F,2.9 °F,5.0 °F,77%,30.41 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Clear
7:51 AM,16.0 °F,6.3 °F,10.0 °F,77%,30.38 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:51 AM,23.0 °F,11.7 °F,10.0 °F,58%,30.35 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:51 AM,26.1 °F,16.2 °F,8.1 °F,47%,30.35 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:51 AM,28.0 °F,15.7 °F,6.1 °F,39%,30.32 in,10.0 mi,SSW,17.3 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,28.9 °F,17.3 °F,7.0 °F,40%,30.26 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Overcast
12:51 PM,30.0 °F,17.9 °F,6.1 °F,36%,30.20 in,10.0 mi,South,18.4 mph,27.6 mph,N/A,	 ,Overcast
1:51 PM,30.9 °F,18.7 °F,6.1 °F,35%,30.14 in,10.0 mi,South,19.6 mph,  -,N/A,	 ,Overcast
2:51 PM,32.0 °F,20.5 °F,7.0 °F,35%,30.09 in,10.0 mi,SSW,18.4 mph,27.6 mph,N/A,	 ,Overcast
3:51 PM,32.0 °F,20.8 °F,7.0 °F,35%,30.06 in,10.0 mi,SSW,17.3 mph,  -,N/A,	 ,Overcast
4:51 PM,32.0 °F,21.2 °F,9.0 °F,38%,30.04 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Overcast
5:51 PM,32.0 °F,21.2 °F,9.0 °F,38%,30.01 in,10.0 mi,South,16.1 mph,25.3 mph,N/A,	 ,Overcast
6:51 PM,32.0 °F,19.2 °F,10.9 °F,42%,29.99 in,10.0 mi,South,23.0 mph,31.1 mph,N/A,	 ,Overcast
7:51 PM,32.0 °F,20.5 °F,12.0 °F,44%,29.97 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Overcast
8:51 PM,33.1 °F,23.4 °F,12.9 °F,43%,29.96 in,10.0 mi,SSW,13.8 mph,20.7 mph,N/A,	 ,Overcast
9:51 PM,33.1 °F,22.6 °F,12.0 °F,42%,29.94 in,10.0 mi,SSW,16.1 mph,25.3 mph,N/A,	 ,Overcast
10:51 PM,33.1 °F,23.4 °F,12.9 °F,43%,29.92 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
11:51 PM,32.0 °F,23.6 °F,14.0 °F,48%,29.90 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
