Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,30.9 °F,21.2 °F,14.0 °F,50%,29.87 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:51 AM,30.9 °F,22.2 °F,15.1 °F,52%,29.87 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,30.9 °F,23.5 °F,15.1 °F,52%,29.86 in,10.0 mi,SW,8.1 mph,18.4 mph,N/A,	 ,Mostly Cloudy
3:51 AM,30.9 °F,21.7 °F,16.0 °F,54%,29.86 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:51 AM,28.9 °F,19.2 °F,16.0 °F,58%,29.87 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
5:51 AM,28.9 °F,20.4 °F,17.1 °F,61%,29.89 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,27.0 °F,18.7 °F,18.0 °F,69%,29.91 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,28.0 °F,18.6 °F,19.0 °F,69%,29.94 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,32.0 °F,22.5 °F,19.9 °F,61%,29.97 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,35.1 °F,25.2 °F,21.9 °F,59%,29.99 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Clear
10:51 AM,36.0 °F,26.3 °F,23.0 °F,59%,30.02 in,10.0 mi,WNW,16.1 mph,20.7 mph,N/A,	 ,Partly Cloudy
11:51 AM,37.9 °F,30.5 °F,23.0 °F,55%,30.04 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
12:51 PM,36.0 °F,26.7 °F,23.0 °F,59%,30.04 in,10.0 mi,NW,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
1:51 PM,36.0 °F,28.0 °F,21.9 °F,57%,30.04 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:51 PM,37.0 °F,28.9 °F,21.9 °F,54%,30.05 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,37.0 °F,30.4 °F,21.9 °F,54%,30.07 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,35.1 °F,29.3 °F,21.9 °F,59%,30.08 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,30.9 °F,27.5 °F,21.0 °F,67%,30.11 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:51 PM,30.9 °F,26.2 °F,21.9 °F,69%,30.14 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:51 PM,28.9 °F,  -,21.0 °F,72%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
8:51 PM,25.0 °F,  -,19.0 °F,78%,30.11 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:51 PM,25.0 °F,19.3 °F,19.9 °F,81%,30.10 in,9.0 mi,South,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,26.1 °F,  -,19.9 °F,78%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
11:51 PM,25.0 °F,20.7 °F,21.0 °F,85%,30.08 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
