Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,30.9 °F,21.2 °F,23.0 °F,72%,29.75 in,10.0 mi,NNW,12.7 mph,21.9 mph,N/A,	 ,Overcast
1:10 AM,30.9 °F,19.8 °F,21.9 °F,69%,29.75 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Overcast
1:51 AM,30.0 °F,20.0 °F,21.9 °F,72%,29.79 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Overcast
2:17 AM,30.0 °F,20.5 °F,21.9 °F,72%,29.78 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Overcast
2:51 AM,30.0 °F,20.5 °F,21.9 °F,72%,29.82 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Overcast
3:51 AM,30.0 °F,22.4 °F,21.0 °F,69%,29.82 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
4:51 AM,28.9 °F,18.6 °F,19.9 °F,69%,29.86 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Overcast
5:32 AM,28.9 °F,21.1 °F,19.9 °F,69%,29.84 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
5:51 AM,28.9 °F,18.6 °F,19.9 °F,69%,29.87 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Overcast
6:51 AM,28.0 °F,18.6 °F,19.9 °F,72%,29.87 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Overcast
7:51 AM,27.0 °F,17.3 °F,19.0 °F,72%,29.91 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
8:18 AM,28.0 °F,16.5 °F,19.0 °F,69%,29.90 in,10.0 mi,NNE,15.0 mph,  -,N/A,	 ,Overcast
8:48 AM,28.4 °F,18.0 °F,19.4 °F,69%,29.91 in,10.0 mi,NNE,12.7 mph,  -,N/A,	 ,Overcast
8:51 AM,28.0 °F,17.5 °F,19.0 °F,69%,29.94 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Mostly Cloudy
9:51 AM,28.9 °F,17.3 °F,19.0 °F,67%,29.94 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Overcast
10:02 AM,28.0 °F,17.0 °F,19.0 °F,69%,29.93 in,10.0 mi,NNE,13.8 mph,  -,N/A,	 ,Overcast
10:22 AM,28.0 °F,17.5 °F,19.0 °F,69%,29.96 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Overcast
10:51 AM,28.0 °F,18.6 °F,18.0 °F,66%,29.99 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
11:31 AM,28.0 °F,18.6 °F,19.0 °F,69%,29.96 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
11:51 AM,28.0 °F,20.0 °F,19.0 °F,69%,29.99 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
12:51 PM,28.0 °F,18.6 °F,18.0 °F,66%,30.00 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Overcast
1:51 PM,28.0 °F,18.6 °F,17.1 °F,63%,29.97 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Overcast
2:44 PM,28.0 °F,19.3 °F,17.1 °F,63%,29.97 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Overcast
2:51 PM,28.0 °F,20.0 °F,17.1 °F,63%,29.99 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Overcast
3:51 PM,28.0 °F,18.6 °F,16.0 °F,61%,30.00 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,27.0 °F,19.5 °F,15.1 °F,61%,30.01 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,25.0 °F,13.6 °F,15.1 °F,66%,30.04 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,24.1 °F,12.5 °F,14.0 °F,65%,30.06 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:51 PM,21.9 °F,10.4 °F,12.0 °F,66%,30.08 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:51 PM,21.0 °F,8.1 °F,10.9 °F,65%,30.09 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,19.9 °F,9.3 °F,10.0 °F,65%,30.10 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,19.0 °F,8.2 °F,10.0 °F,68%,30.11 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:51 PM,19.0 °F,5.6 °F,8.1 °F,62%,30.12 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
