Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,36.0 °F,26.7 °F,10.0 °F,34%,30.21 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Overcast
1:51 AM,33.1 °F,22.6 °F,9.0 °F,37%,30.25 in,10.0 mi,NNW,16.1 mph,  -,N/A,	 ,Partly Cloudy
2:51 AM,30.9 °F,19.8 °F,8.1 °F,38%,30.27 in,10.0 mi,NNW,16.1 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,28.9 °F,17.7 °F,8.1 °F,41%,30.28 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
4:51 AM,28.0 °F,17.0 °F,7.0 °F,41%,30.32 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
5:51 AM,27.0 °F,13.5 °F,7.0 °F,43%,30.35 in,10.0 mi,NNW,19.6 mph,23.0 mph,N/A,	 ,Partly Cloudy
6:51 AM,27.0 °F,13.9 °F,6.1 °F,41%,30.38 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,27.0 °F,13.5 °F,5.0 °F,39%,30.40 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,27.0 °F,13.9 °F,-0.0 °F,31%,30.43 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,28.0 °F,15.7 °F,-7.1 °F,22%,30.44 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,28.9 °F,17.7 °F,-2.9 °F,25%,30.45 in,10.0 mi,North,15.0 mph,23.0 mph,N/A,	 ,Partly Cloudy
11:51 AM,30.9 °F,20.7 °F,-2.0 °F,24%,30.45 in,10.0 mi,NNW,13.8 mph,24.2 mph,N/A,	 ,Partly Cloudy
12:51 PM,30.9 °F,20.2 °F,-2.9 °F,23%,30.44 in,10.0 mi,North,15.0 mph,23.0 mph,N/A,	 ,Partly Cloudy
1:51 PM,30.9 °F,19.1 °F,-0.0 °F,27%,30.44 in,10.0 mi,WNW,18.4 mph,26.5 mph,N/A,	 ,Partly Cloudy
2:51 PM,30.0 °F,20.0 °F,-2.9 °F,24%,30.44 in,10.0 mi,NW,12.7 mph,26.5 mph,N/A,	 ,Scattered Clouds
3:51 PM,30.9 °F,22.8 °F,-2.9 °F,23%,30.44 in,10.0 mi,NNW,9.2 mph,20.7 mph,N/A,	 ,Mostly Cloudy
4:51 PM,28.9 °F,18.2 °F,-2.0 °F,26%,30.44 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,27.0 °F,16.1 °F,-2.9 °F,27%,30.43 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,27.0 °F,16.1 °F,-2.0 °F,29%,30.43 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Overcast
7:51 PM,26.1 °F,15.6 °F,-2.0 °F,30%,30.44 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:51 PM,24.1 °F,12.5 °F,-4.0 °F,29%,30.44 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
9:51 PM,24.1 °F,14.4 °F,-2.9 °F,31%,30.45 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:51 PM,24.1 °F,13.1 °F,-2.9 °F,31%,30.45 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:51 PM,23.0 °F,11.1 °F,-4.0 °F,31%,30.46 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Mostly Cloudy
