Time (CDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,25.0 °F,16.3 °F,12.0 °F,58%,30.33 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
1:51 AM,23.0 °F,14.7 °F,10.9 °F,60%,30.34 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
2:51 AM,23.0 °F,13.1 °F,10.0 °F,58%,30.33 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
3:51 AM,23.0 °F,13.9 °F,10.0 °F,58%,30.33 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
4:51 AM,21.9 °F,13.4 °F,10.0 °F,60%,30.33 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
5:51 AM,21.0 °F,14.6 °F,10.0 °F,63%,30.34 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
6:51 AM,19.0 °F,12.3 °F,9.0 °F,65%,30.35 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
7:51 AM,21.0 °F,14.6 °F,10.9 °F,65%,30.36 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
8:51 AM,24.1 °F,18.2 °F,10.9 °F,57%,30.38 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,28.0 °F,21.7 °F,12.0 °F,51%,30.38 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,30.0 °F,24.1 °F,9.0 °F,41%,30.37 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:51 AM,33.1 °F,26.9 °F,9.0 °F,37%,30.36 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,35.1 °F,30.1 °F,10.9 °F,37%,30.34 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:49 PM,37.4 °F,32.1 °F,10.4 °F,33%,30.29 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Smoke
1:51 PM,37.4 °F,32.1 °F,10.4 °F,33%,30.32 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Smoke
2:51 PM,39.9 °F,37.8 °F,12.9 °F,33%,30.29 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,41.0 °F,39.0 °F,12.0 °F,31%,30.27 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,42.1 °F,40.2 °F,14.0 °F,32%,30.25 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:51 PM,42.1 °F,36.6 °F,16.0 °F,35%,30.23 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,41.0 °F,37.1 °F,19.0 °F,41%,30.23 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:51 PM,36.0 °F,31.1 °F,19.9 °F,52%,30.22 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:51 PM,35.1 °F,28.6 °F,21.0 °F,57%,30.21 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Overcast
9:51 PM,34.0 °F,27.2 °F,21.0 °F,59%,30.21 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Overcast
10:51 PM,35.1 °F,28.6 °F,24.1 °F,64%,30.19 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
11:51 PM,36.0 °F,29.0 °F,25.0 °F,64%,30.19 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
