Time (CDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,35.1 °F,29.3 °F,27.0 °F,72%,30.33 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
1:51 AM,30.9 °F,26.2 °F,25.0 °F,79%,30.34 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:51 AM,35.1 °F,30.1 °F,28.0 °F,76%,30.34 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,34.0 °F,28.8 °F,28.0 °F,79%,30.35 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:51 AM,34.0 °F,31.0 °F,27.0 °F,75%,30.36 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:51 AM,33.1 °F,28.7 °F,27.0 °F,78%,30.37 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:51 AM,30.9 °F,  -,27.0 °F,85%,30.38 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
7:51 AM,34.0 °F,  -,28.9 °F,82%,30.39 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:51 AM,39.0 °F,36.8 °F,30.9 °F,73%,30.39 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:51 AM,41.0 °F,38.0 °F,30.0 °F,65%,30.39 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:51 AM,43.0 °F,41.3 °F,30.0 °F,60%,30.39 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,45.0 °F,40.6 °F,30.0 °F,56%,30.38 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,46.0 °F,42.5 °F,30.9 °F,56%,30.35 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,48.0 °F,  -,32.0 °F,54%,30.32 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Scattered Clouds
2:51 PM,51.1 °F,  -,32.0 °F,48%,30.27 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,53.1 °F,  -,33.1 °F,47%,30.23 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,52.0 °F,  -,32.0 °F,47%,30.20 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Scattered Clouds
5:51 PM,52.0 °F,  -,33.1 °F,49%,30.18 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Scattered Clouds
6:51 PM,50.0 °F,  -,33.1 °F,52%,30.16 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Scattered Clouds
7:51 PM,48.0 °F,  -,34.0 °F,58%,30.14 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:51 PM,48.0 °F,  -,34.0 °F,58%,30.15 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:51 PM,48.9 °F,  -,34.0 °F,56%,30.12 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Overcast
10:51 PM,48.9 °F,  -,33.1 °F,54%,30.09 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Mostly Cloudy
11:51 PM,50.0 °F,  -,33.1 °F,52%,30.05 in,10.0 mi,SSW,19.6 mph,  -,N/A,	 ,Overcast
