Time (CDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,37.0 °F,32.4 °F,30.9 °F,79%,30.09 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:51 AM,37.0 °F,31.6 °F,30.9 °F,79%,30.10 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:51 AM,36.0 °F,30.3 °F,30.0 °F,79%,30.12 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,36.0 °F,30.3 °F,30.0 °F,79%,30.14 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:51 AM,37.0 °F,33.3 °F,30.0 °F,76%,30.14 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:51 AM,34.0 °F,31.0 °F,28.9 °F,82%,30.15 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,35.1 °F,30.1 °F,28.0 °F,76%,30.19 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:51 AM,39.0 °F,35.7 °F,28.0 °F,65%,30.21 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:51 AM,44.1 °F,40.1 °F,27.0 °F,51%,30.22 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:51 AM,48.0 °F,  -,24.1 °F,39%,30.23 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,52.0 °F,  -,21.0 °F,30%,30.24 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:51 AM,54.0 °F,  -,19.9 °F,26%,30.24 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,55.0 °F,  -,16.0 °F,22%,30.22 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,57.9 °F,  -,18.0 °F,21%,30.21 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:51 PM,57.9 °F,  -,17.1 °F,20%,30.19 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:51 PM,57.9 °F,  -,21.0 °F,24%,30.18 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,57.0 °F,  -,19.9 °F,24%,30.19 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,54.0 °F,  -,19.9 °F,26%,30.20 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,52.0 °F,  -,17.1 °F,25%,30.21 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:51 PM,46.9 °F,  -,21.9 °F,37%,30.20 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:51 PM,48.0 °F,  -,21.9 °F,36%,30.21 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
9:51 PM,45.0 °F,42.6 °F,19.0 °F,36%,30.22 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:51 PM,45.0 °F,42.6 °F,17.1 °F,33%,30.23 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:51 PM,44.1 °F,41.5 °F,17.1 °F,34%,30.22 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
