Time (CDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,48.0 °F,  -,44.1 °F,86%,29.39 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Overcast
1:51 AM,48.0 °F,  -,44.1 °F,86%,29.42 in,10.0 mi,WNW,11.5 mph,  -,0.01 in,Rain,Light Rain
2:03 AM,48.0 °F,  -,44.1 °F,86%,29.41 in,10.0 mi,WNW,11.5 mph,  -,0.00 in,	 ,Overcast
2:43 AM,46.9 °F,  -,44.1 °F,90%,29.42 in,10.0 mi,WNW,11.5 mph,  -,0.00 in,	 ,Overcast
2:51 AM,46.9 °F,  -,44.1 °F,90%,29.44 in,10.0 mi,WNW,13.8 mph,  -,0.00 in,	 ,Overcast
3:51 AM,46.9 °F,  -,43.0 °F,86%,29.45 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Overcast
4:51 AM,46.9 °F,  -,43.0 °F,86%,29.49 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Overcast
5:51 AM,46.9 °F,  -,43.0 °F,86%,29.53 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
6:42 AM,46.9 °F,  -,43.0 °F,86%,29.55 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Overcast
6:51 AM,46.9 °F,  -,43.0 °F,86%,29.56 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Overcast
7:51 AM,46.9 °F,  -,43.0 °F,86%,29.61 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Overcast
8:17 AM,46.9 °F,  -,43.0 °F,86%,29.61 in,6.0 mi,West,11.5 mph,  -,0.00 in,Rain,Light Rain
8:20 AM,46.9 °F,  -,43.0 °F,86%,29.61 in,3.0 mi,West,10.4 mph,  -,0.00 in,Rain,Light Rain
8:31 AM,46.9 °F,  -,44.1 °F,90%,29.62 in,2.5 mi,West,10.4 mph,  -,0.01 in,Rain,Light Rain
8:46 AM,46.4 °F,41.1 °F,44.6 °F,93%,29.62 in,2.0 mi,WNW,11.5 mph,  -,0.01 in,Rain,Light Rain
8:51 AM,46.9 °F,  -,44.1 °F,90%,29.63 in,2.0 mi,WNW,12.7 mph,  -,0.01 in,Rain,Light Rain
9:09 AM,46.9 °F,  -,45.0 °F,93%,29.63 in,3.0 mi,WNW,13.8 mph,  -,0.00 in,Rain,Light Rain
