Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,50.0 °F,48.0 °F,93%,29.87 in,5.0 mi,NNE,11.5 mph,  -,0.00 in,	 ,Overcast
1:26 AM,50.0 °F,48.0 °F,93%,29.88 in,4.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
1:51 AM,51.1 °F,48.9 °F,92%,29.88 in,4.0 mi,NNE,11.5 mph,  -,0.00 in,	 ,Light Drizzle
2:12 AM,51.1 °F,48.9 °F,92%,29.89 in,5.0 mi,NNE,11.5 mph,  -,0.00 in,	 ,Overcast
2:23 AM,51.1 °F,48.9 °F,92%,29.89 in,5.0 mi,NNE,10.4 mph,  -,0.00 in,	 ,Overcast
2:51 AM,51.1 °F,48.0 °F,89%,29.91 in,5.0 mi,NE,11.5 mph,  -,0.00 in,	 ,Overcast
3:51 AM,50.0 °F,48.0 °F,93%,29.90 in,5.0 mi,NE,9.2 mph,  -,N/A,	 ,Overcast
4:51 AM,50.0 °F,48.0 °F,93%,29.91 in,5.0 mi,NE,8.1 mph,  -,N/A,	 ,Overcast
5:51 AM,50.0 °F,46.9 °F,89%,29.94 in,4.0 mi,NE,6.9 mph,  -,N/A,	 ,Overcast
6:47 AM,50.0 °F,46.4 °F,87%,29.94 in,5.0 mi,NE,5.8 mph,  -,N/A,	 ,Overcast
6:51 AM,50.0 °F,46.9 °F,89%,29.94 in,5.0 mi,NE,6.9 mph,  -,N/A,	 ,Overcast
7:51 AM,50.0 °F,46.9 °F,89%,29.96 in,6.0 mi,NE,9.2 mph,  -,N/A,	 ,Overcast
8:51 AM,51.1 °F,46.9 °F,86%,29.97 in,9.0 mi,NE,8.1 mph,  -,N/A,	 ,Overcast
9:16 AM,54.0 °F,46.9 °F,77%,29.97 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Overcast
9:36 AM,54.0 °F,46.9 °F,77%,29.96 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Overcast
9:51 AM,54.0 °F,46.0 °F,75%,29.98 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Overcast
10:51 AM,57.0 °F,46.9 °F,69%,29.97 in,10.0 mi,NE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,57.9 °F,45.0 °F,62%,29.97 in,10.0 mi,NE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,60.1 °F,44.1 °F,55%,29.98 in,10.0 mi,NNE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,63.0 °F,45.0 °F,52%,29.98 in,10.0 mi,NE,13.8 mph,  -,N/A,	 ,Scattered Clouds
2:51 PM,64.0 °F,45.0 °F,50%,29.98 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:51 PM,63.0 °F,41.0 °F,45%,29.97 in,10.0 mi,NE,12.7 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,64.9 °F,39.0 °F,39%,29.96 in,10.0 mi,NNE,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,64.0 °F,39.0 °F,40%,29.96 in,10.0 mi,NNE,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,63.0 °F,39.0 °F,41%,29.94 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:51 PM,60.1 °F,37.9 °F,44%,29.94 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,57.0 °F,39.9 °F,53%,29.99 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,53.1 °F,43.0 °F,69%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:51 PM,55.0 °F,39.9 °F,57%,29.99 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:51 PM,54.0 °F,37.9 °F,55%,29.99 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Partly Cloudy
