Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:05 AM,66.9 °F,  -,57.0 °F,70%,29.91 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:51 AM,64.9 °F,  -,59.0 °F,81%,29.85 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:51 AM,64.0 °F,  -,59.0 °F,84%,29.80 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,63.0 °F,  -,57.9 °F,84%,29.80 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,64.9 °F,  -,57.9 °F,78%,29.81 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
4:51 AM,64.9 °F,  -,57.9 °F,78%,29.82 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:51 AM,66.0 °F,  -,57.9 °F,75%,29.81 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,66.0 °F,  -,60.1 °F,81%,29.84 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:51 AM,70.0 °F,  -,60.1 °F,71%,29.83 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,72.0 °F,  -,61.0 °F,68%,29.82 in,10.0 mi,SW,9.2 mph,18.4 mph,N/A,	 ,Mostly Cloudy
9:51 AM,75.9 °F,  -,62.1 °F,62%,29.81 in,10.0 mi,SSW,12.7 mph,18.4 mph,N/A,	 ,Mostly Cloudy
10:51 AM,78.1 °F,  -,63.0 °F,60%,29.81 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,80.1 °F,81.5 °F,63.0 °F,56%,29.79 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,82.9 °F,84.0 °F,63.0 °F,51%,29.76 in,10.0 mi,SSW,19.6 mph,26.5 mph,N/A,	 ,Mostly Cloudy
1:51 PM,84.9 °F,85.0 °F,61.0 °F,44%,29.73 in,10.0 mi,South,21.9 mph,28.8 mph,N/A,	 ,Scattered Clouds
2:51 PM,84.9 °F,83.9 °F,57.0 °F,38%,29.71 in,10.0 mi,SSW,18.4 mph,31.1 mph,N/A,	 ,Mostly Cloudy
3:51 PM,87.1 °F,85.1 °F,54.0 °F,32%,29.69 in,10.0 mi,SW,16.1 mph,34.5 mph,N/A,	 ,Mostly Cloudy
4:51 PM,87.1 °F,  -,51.1 °F,29%,29.70 in,10.0 mi,SSW,23.0 mph,32.2 mph,N/A,	 ,Scattered Clouds
5:51 PM,86.0 °F,  -,52.0 °F,31%,29.69 in,10.0 mi,SSW,20.7 mph,34.5 mph,N/A,	 ,Scattered Clouds
6:51 PM,84.0 °F,  -,51.1 °F,32%,29.68 in,10.0 mi,SSW,18.4 mph,24.2 mph,N/A,	 ,Partly Cloudy
7:51 PM,82.9 °F,81.9 °F,54.0 °F,37%,29.67 in,10.0 mi,SSW,17.3 mph,24.2 mph,N/A,	 ,Clear
8:51 PM,80.1 °F,80.4 °F,57.0 °F,45%,29.67 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,80.1 °F,80.2 °F,55.9 °F,43%,29.67 in,10.0 mi,SSW,21.9 mph,32.2 mph,N/A,	 ,Partly Cloudy
10:51 PM,79.0 °F,  -,57.0 °F,47%,29.68 in,10.0 mi,SSW,23.0 mph,29.9 mph,N/A,	 ,Partly Cloudy
11:51 PM,78.1 °F,  -,57.0 °F,48%,29.66 in,10.0 mi,SSW,25.3 mph,34.5 mph,N/A,	 ,Partly Cloudy
