Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,57.0 °F,53.1 °F,87%,29.86 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Overcast
1:51 AM,55.9 °F,51.1 °F,84%,29.86 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,54.0 °F,51.1 °F,90%,29.86 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:30 AM,53.1 °F,50.0 °F,89%,29.86 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Scattered Clouds
3:33 AM,53.1 °F,51.1 °F,93%,29.86 in,9.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,53.1 °F,50.0 °F,89%,29.86 in,9.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
4:18 AM,52.0 °F,50.0 °F,93%,29.87 in,8.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
4:51 AM,52.0 °F,50.0 °F,93%,29.88 in,9.0 mi,NNE,5.8 mph,  -,N/A,	 ,Overcast
5:51 AM,53.1 °F,50.0 °F,89%,29.88 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:32 AM,55.0 °F,51.1 °F,86%,29.90 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:51 AM,55.0 °F,51.1 °F,86%,29.91 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:51 AM,57.0 °F,51.1 °F,81%,29.92 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:51 AM,62.1 °F,53.1 °F,72%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:51 AM,64.9 °F,53.1 °F,65%,29.92 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:51 AM,66.9 °F,53.1 °F,61%,29.90 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:51 AM,70.0 °F,52.0 °F,53%,29.91 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
12:51 PM,72.0 °F,53.1 °F,51%,29.90 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:51 PM,73.9 °F,54.0 °F,50%,29.89 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:51 PM,75.9 °F,53.1 °F,45%,29.87 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:51 PM,77.0 °F,57.9 °F,52%,29.84 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,73.0 °F,55.9 °F,55%,29.86 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,73.0 °F,55.9 °F,55%,29.85 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:51 PM,70.0 °F,54.0 °F,57%,29.85 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:51 PM,70.0 °F,53.1 °F,55%,29.84 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:51 PM,66.9 °F,54.0 °F,63%,29.81 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:51 PM,64.9 °F,53.1 °F,65%,29.84 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
10:51 PM,64.0 °F,53.1 °F,67%,29.83 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
11:51 PM,64.0 °F,53.1 °F,67%,29.81 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
