Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,63.0 °F,48.9 °F,60%,29.75 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:51 AM,64.0 °F,50.0 °F,60%,29.75 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
2:51 AM,63.0 °F,50.0 °F,63%,29.74 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,61.0 °F,50.0 °F,67%,29.75 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:51 AM,59.0 °F,50.0 °F,72%,29.76 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:51 AM,59.0 °F,50.0 °F,72%,29.77 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:51 AM,63.0 °F,48.9 °F,60%,29.78 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,66.0 °F,48.9 °F,54%,29.78 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,70.0 °F,46.0 °F,42%,29.79 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,72.0 °F,45.0 °F,38%,29.80 in,10.0 mi,West,15.0 mph,21.9 mph,N/A,	 ,Scattered Clouds
10:51 AM,72.0 °F,46.0 °F,40%,29.80 in,10.0 mi,West,17.3 mph,26.5 mph,N/A,	 ,Partly Cloudy
11:51 AM,73.9 °F,46.0 °F,37%,29.81 in,10.0 mi,WSW,21.9 mph,31.1 mph,N/A,	 ,Scattered Clouds
12:51 PM,75.9 °F,42.1 °F,30%,29.81 in,10.0 mi,West,25.3 mph,34.5 mph,N/A,	 ,Partly Cloudy
1:51 PM,75.9 °F,42.1 °F,30%,29.82 in,10.0 mi,West,20.7 mph,38.0 mph,N/A,	 ,Partly Cloudy
2:51 PM,75.9 °F,39.9 °F,27%,29.81 in,10.0 mi,West,24.2 mph,33.4 mph,N/A,	 ,Partly Cloudy
3:51 PM,75.0 °F,43.0 °F,32%,29.81 in,10.0 mi,West,21.9 mph,29.9 mph,N/A,	 ,Scattered Clouds
4:51 PM,73.0 °F,42.1 °F,33%,29.83 in,10.0 mi,West,13.8 mph,26.5 mph,N/A,	 ,Scattered Clouds
5:51 PM,73.0 °F,43.0 °F,34%,29.83 in,10.0 mi,West,20.7 mph,26.5 mph,N/A,	 ,Mostly Cloudy
6:51 PM,72.0 °F,42.1 °F,34%,29.84 in,10.0 mi,West,12.7 mph,23.0 mph,N/A,	 ,Scattered Clouds
7:51 PM,71.1 °F,43.0 °F,36%,29.85 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:51 PM,66.0 °F,45.0 °F,47%,29.86 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:51 PM,64.0 °F,46.0 °F,52%,29.86 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,62.1 °F,46.0 °F,56%,29.87 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:51 PM,60.1 °F,46.0 °F,60%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
