Time (CDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,45.0 °F,42.6 °F,30.9 °F,58%,30.08 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Overcast
1:51 AM,46.0 °F,43.1 °F,30.9 °F,56%,30.07 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Overcast
2:51 AM,45.0 °F,42.6 °F,32.0 °F,60%,30.04 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Overcast
3:51 AM,45.0 °F,40.6 °F,33.1 °F,63%,30.04 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Overcast
4:51 AM,45.0 °F,40.6 °F,34.0 °F,65%,30.02 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Overcast
5:51 AM,46.0 °F,41.9 °F,35.1 °F,66%,30.02 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
6:51 AM,46.9 °F,  -,37.0 °F,68%,30.03 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Overcast
7:51 AM,48.0 °F,  -,39.0 °F,71%,30.02 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
8:51 AM,48.9 °F,  -,39.0 °F,69%,29.99 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Overcast
9:51 AM,48.9 °F,  -,39.0 °F,69%,29.98 in,10.0 mi,ENE,15.0 mph,  -,N/A,	 ,Overcast
10:51 AM,48.9 °F,  -,39.9 °F,71%,29.99 in,10.0 mi,ENE,16.1 mph,19.6 mph,N/A,	 ,Overcast
11:51 AM,50.0 °F,  -,39.0 °F,66%,29.98 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Overcast
12:51 PM,51.1 °F,  -,39.0 °F,63%,29.97 in,10.0 mi,ENE,16.1 mph,  -,N/A,	 ,Overcast
1:51 PM,53.1 °F,  -,37.0 °F,55%,29.94 in,10.0 mi,ENE,18.4 mph,23.0 mph,N/A,	 ,Overcast
2:51 PM,53.1 °F,  -,37.9 °F,57%,29.94 in,10.0 mi,NE,16.1 mph,  -,N/A,	 ,Overcast
3:51 PM,52.0 °F,  -,37.9 °F,59%,29.93 in,10.0 mi,NE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,51.1 °F,  -,37.0 °F,59%,29.94 in,10.0 mi,NE,15.0 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,50.0 °F,  -,37.0 °F,61%,29.93 in,10.0 mi,NE,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:51 PM,51.1 °F,  -,37.0 °F,59%,29.93 in,10.0 mi,NNE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:51 PM,48.9 °F,  -,36.0 °F,61%,29.93 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:51 PM,48.0 °F,  -,36.0 °F,63%,29.93 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:51 PM,46.0 °F,43.1 °F,36.0 °F,68%,29.92 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:51 PM,45.0 °F,40.6 °F,36.0 °F,71%,29.91 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:51 PM,44.1 °F,39.5 °F,35.1 °F,71%,29.89 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Clear
