Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:13 AM,66.0 °F,  -,64.9 °F,96%,29.83 in,6.0 mi,East,6.9 mph,  -,0.78 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
12:34 AM,66.9 °F,  -,64.9 °F,93%,29.78 in,10.0 mi,SE,12.7 mph,  -,0.78 in,	 ,Overcast
12:51 AM,66.9 °F,  -,64.0 °F,90%,29.78 in,10.0 mi,ESE,8.1 mph,  -,0.78 in,	 ,Overcast
1:51 AM,66.9 °F,  -,64.0 °F,90%,29.76 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,68.0 °F,  -,64.0 °F,87%,29.73 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,68.0 °F,  -,64.0 °F,87%,29.71 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Overcast
4:51 AM,71.1 °F,  -,64.0 °F,78%,29.70 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:51 AM,71.1 °F,  -,63.0 °F,75%,29.74 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,71.1 °F,  -,62.1 °F,73%,29.75 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
7:51 AM,73.0 °F,  -,62.1 °F,68%,29.76 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,73.9 °F,  -,61.0 °F,64%,29.76 in,10.0 mi,WSW,21.9 mph,25.3 mph,N/A,	 ,Mostly Cloudy
9:51 AM,75.0 °F,  -,62.1 °F,64%,29.77 in,10.0 mi,SW,17.3 mph,24.2 mph,N/A,	 ,Overcast
10:18 AM,75.0 °F,  -,63.0 °F,66%,29.78 in,10.0 mi,SW,15.0 mph,  -,N/A,	 ,Overcast
10:51 AM,75.9 °F,  -,64.0 °F,67%,29.78 in,10.0 mi,West,13.8 mph,21.9 mph,N/A,	 ,Overcast
11:51 AM,79.0 °F,  -,66.0 °F,64%,29.81 in,10.0 mi,WSW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,80.1 °F,82.1 °F,66.0 °F,62%,29.81 in,10.0 mi,WSW,19.6 mph,  -,N/A,	 ,Overcast
1:51 PM,80.1 °F,82.3 °F,66.9 °F,64%,29.81 in,10.0 mi,WSW,13.8 mph,23.0 mph,N/A,	 ,Overcast
2:51 PM,80.1 °F,82.7 °F,68.0 °F,67%,29.81 in,10.0 mi,SW,13.8 mph,24.2 mph,N/A,	 ,Overcast
3:51 PM,80.1 °F,81.7 °F,64.0 °F,58%,29.82 in,10.0 mi,WSW,18.4 mph,23.0 mph,N/A,	 ,Overcast
4:51 PM,80.1 °F,81.9 °F,64.9 °F,60%,29.82 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Overcast
5:51 PM,78.1 °F,  -,66.0 °F,66%,29.82 in,10.0 mi,West,9.2 mph,  -,0.00 in,	 ,Overcast
6:51 PM,75.9 °F,  -,64.0 °F,67%,29.82 in,10.0 mi,WNW,11.5 mph,  -,0.00 in,	 ,Overcast
7:51 PM,71.1 °F,  -,63.0 °F,75%,29.83 in,10.0 mi,West,9.2 mph,  -,0.02 in,Rain,Light Rain
8:51 PM,70.0 °F,  -,64.9 °F,84%,29.78 in,10.0 mi,SSE,9.2 mph,  -,0.00 in,	 ,Overcast
9:51 PM,70.0 °F,  -,64.9 °F,84%,29.83 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:51 PM,68.0 °F,  -,64.0 °F,87%,29.83 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:51 PM,68.0 °F,  -,64.9 °F,90%,29.85 in,8.0 mi,SW,5.8 mph,  -,N/A,	 ,Scattered Clouds
