Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,61.0 °F,41.0 °F,48%,30.04 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Clear
1:51 AM,59.0 °F,43.0 °F,55%,30.04 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Clear
2:51 AM,60.1 °F,42.1 °F,51%,30.05 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Clear
3:51 AM,55.9 °F,43.0 °F,62%,30.06 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Clear
4:51 AM,55.0 °F,43.0 °F,64%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
5:51 AM,59.0 °F,41.0 °F,51%,30.08 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:51 AM,63.0 °F,42.1 °F,46%,30.09 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,66.9 °F,43.0 °F,42%,30.10 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,72.0 °F,43.0 °F,35%,30.10 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,75.9 °F,44.1 °F,32%,30.09 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,79.0 °F,44.1 °F,29%,30.08 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:51 AM,82.0 °F,39.9 °F,22%,30.07 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,84.0 °F,39.0 °F,20%,30.06 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:51 PM,82.9 °F,41.0 °F,23%,30.04 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:51 PM,84.0 °F,42.1 °F,23%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:51 PM,84.9 °F,43.0 °F,23%,30.02 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,84.9 °F,43.0 °F,23%,30.01 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:30 PM,84.0 °F,41.0 °F,22%,30.01 in,10.0 mi,ENE,6.9 mph,24.2 mph,N/A,	 ,Partly Cloudy
5:45 PM,82.4 °F,42.8 °F,25%,30.00 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,82.9 °F,41.0 °F,23%,29.99 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,81.0 °F,39.9 °F,23%,29.99 in,10.0 mi,East,11.5 mph,  -,0.00 in,	 ,Partly Cloudy
7:51 PM,78.1 °F,39.0 °F,25%,29.99 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,70.0 °F,42.1 °F,36%,30.00 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,69.1 °F,41.0 °F,36%,30.00 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,69.1 °F,41.0 °F,36%,30.00 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:51 PM,66.9 °F,43.0 °F,42%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
