Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,66.9 °F,59.0 °F,76%,29.74 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:51 AM,66.9 °F,57.9 °F,73%,29.73 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:51 AM,66.0 °F,59.0 °F,78%,29.74 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,64.9 °F,57.9 °F,78%,29.74 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:51 AM,63.0 °F,57.0 °F,81%,29.73 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:51 AM,63.0 °F,57.9 °F,84%,29.73 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:51 AM,69.1 °F,57.0 °F,65%,29.77 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,73.0 °F,55.0 °F,53%,29.77 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
8:51 AM,70.0 °F,55.0 °F,59%,29.80 in,10.0 mi,NNE,16.1 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,69.1 °F,55.9 °F,63%,29.83 in,10.0 mi,NE,21.9 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,69.1 °F,55.9 °F,63%,29.86 in,10.0 mi,NE,18.4 mph,24.2 mph,N/A,	 ,Scattered Clouds
11:51 AM,66.9 °F,55.0 °F,66%,29.87 in,10.0 mi,NNE,21.9 mph,31.1 mph,N/A,	 ,Partly Cloudy
12:51 PM,68.0 °F,53.1 °F,59%,29.88 in,10.0 mi,NE,20.7 mph,25.3 mph,N/A,	 ,Partly Cloudy
1:51 PM,68.0 °F,53.1 °F,59%,29.88 in,10.0 mi,NNE,23.0 mph,29.9 mph,N/A,	 ,Partly Cloudy
2:51 PM,68.0 °F,52.0 °F,56%,29.88 in,10.0 mi,NE,24.2 mph,28.8 mph,N/A,	 ,Partly Cloudy
3:51 PM,68.0 °F,52.0 °F,56%,29.89 in,10.0 mi,NNE,23.0 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,68.0 °F,52.0 °F,56%,29.89 in,10.0 mi,NE,20.7 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,68.0 °F,51.1 °F,55%,29.89 in,10.0 mi,NNE,17.3 mph,  -,N/A,	 ,Clear
6:51 PM,66.9 °F,50.0 °F,54%,29.91 in,10.0 mi,NNE,17.3 mph,  -,N/A,	 ,Clear
7:51 PM,64.9 °F,48.0 °F,54%,29.92 in,10.0 mi,NNE,16.1 mph,24.2 mph,N/A,	 ,Clear
8:51 PM,64.0 °F,46.9 °F,54%,29.94 in,10.0 mi,NNE,12.7 mph,21.9 mph,N/A,	 ,Clear
9:51 PM,63.0 °F,45.0 °F,52%,29.96 in,10.0 mi,NNE,17.3 mph,  -,N/A,	 ,Clear
10:51 PM,61.0 °F,37.9 °F,42%,29.96 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Clear
11:51 PM,60.1 °F,37.9 °F,44%,29.97 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
